dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.country,dc.publisher.place,dc.subject.keywords,item.collection,item.openaireRights,dc.authority.people,
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/554924,-,2005,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"ARQUILLA, VENANZIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/555012,-,2005,-,internazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"RICCO', DINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/555015,-,2005,-,internazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"GALBIATI, MARIA LUISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/555232,-,2005,-,internazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"GALBIATI, MARIA LUISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/555234,eng,2005,-,internazionale,-,-,-,Texture; trama; design della comunicazione; percezione visiva; percezione cinetica; percezione aptica; segno; colore,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"CALABI, DANIELA ANNA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/555412,-,2004,"Sì, ma tipo non specificato",nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"ARQUILLA, VENANZIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/555414,-,2004,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"ARQUILLA, VENANZIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/555426,-,2004,"Sì, ma tipo non specificato",nazionale,-,-,-,-,01.1 Articolo in Rivista,none,3,"ARQUILLA, VENANZIO;F. Perazzoli;VIGNATI, ARIANNA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/555753,eng,2004,"Sì, ma tipo non specificato",internazionale,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,7,"ORLANDO P.;TRENTA R.;BRUNO M.;ORLANDO C.;RATTI, ANDREA;FERRARI, SIMONE;PIARDI, SILVIA ELVIRA MARIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/555764,eng,2004,"Sì, ma tipo non specificato",internazionale,-,-,-,"Cut problems, k-cardinality minimum cut, Cardinality constrained combinatorial optimization",01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,3,"BRUGLIERI, MAURIZIO;MAFFIOLI, FRANCESCO;EHRGOTT M."
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/555812,-,2004,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,2,"INGARAMO, MATTEO ORESTE;RAMPINO, LUCIA ROSA ELENA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/555818,eng,2004,Nessuno,nazionale,-,-,-,"tessuti tecnici, arti decorative, formazione, progetto",01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,1,"DE PAOLIS, ROBERTO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/555978,-,2004,-,internazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"RICCO', DINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/556031,-,2004,-,internazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"GALBIATI, MARIA LUISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/556044,-,2004,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,5,"MAJA, ROBERTO;PONTI, MARCO;SALA, GABRIELLA;STUDER, LUCA PASINO;VERONESI, ELEONORA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/556050,-,2004,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"RICCO', DINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/556051,eng;ita,2004,Nessuno,nazionale,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,1,"DE PAOLIS, ROBERTO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/556234,-,2003,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,6,"R. Arditi;CAPRILE, ELENA;MAJA, ROBERTO;C. Messina;SALA, GABRIELLA;STUDER, LUCA PASINO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/556263,-,2003,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"BUCCHETTI, VALERIA LUISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/556266,-,2003,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"BUCCHETTI, VALERIA LUISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/556802,ita;eng,2003,-,internazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"PIAZZA, MARIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/556871,-,2003,-,internazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"PENATI, ANTONELLA VALERIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/557231,-,2002,-,nazionale,Maggioli,-,Rimini,-,01.1 Articolo in Rivista,none,1,"CECONELLO, MAURO ATTILIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/557266,-,2002,-,internazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"CIUCCARELLI, PAOLO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/557368,ita;eng,2009,-,-,-,-,-,colore; materiali; sensorialità; espressività; atlante,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,3,"ROGNOLI, VALENTINA;SALVIA, GIUSEPPE;LEVI, MARINELLA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/557545,-,2002,-,internazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"PIAZZA, MARIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/557885,-,2001,-,internazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"RICCO', DINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/558038,-,2001,-,internazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"CIUCCARELLI, PAOLO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/558409,ita,2001,"Sì, ma tipo non specificato",nazionale,-,-,-,-,01.1 Articolo in Rivista,none,3,"COLORNI VITALE, ALBERTO;PILLAN, MARGHERITA;SANCASSANI, SUSANNA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/558508,ita;jpn;eng,2000,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"RICCO', DINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/558636,eng;ita,2000,Nessuno,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"CIUCCARELLI, PAOLO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/558671,-,2000,-,internazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"CIUCCARELLI, PAOLO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/558771,-,2000,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"BAULE, GIOVANNI"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/558773,-,2000,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"BAULE, GIOVANNI"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/558775,-,2000,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"BAULE, GIOVANNI"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/558776,-,2000,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"BAULE, GIOVANNI"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/558827,-,2000,-,internazionale,-,-,-,-,01.1 Articolo in Rivista,none,2,"SEASSARO, ALBERTO;SIMONELLI, GIULIANO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/559017,eng;ita,2000,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"CIUCCARELLI, PAOLO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/561094,eng;ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"CONTI, GIOVANNI MARIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/561509,eng,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"CONTI, GIOVANNI MARIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/561516,ita,2006,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,2,"CRESPI, LUCIANO;REBAGLIO, AGNESE"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/561526,ita,2009,Comitato scientifico,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,3,"S. Guzzetti;ROSSI, MAURIZIO;MUSANTE, FULVIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/561536,eng,2009,-,-,-,-,-,Sustainable mobility; carpooling; Travel demand Management Measures; Web based software,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,2,"A. Luè;COLORNI VITALE, ALBERTO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/561575,eng;ita,2009,-,-,-,-,-,colore; interazioni cromatiche; contrasti cromatici; armonie cromatiche,01.1 Articolo in Rivista,none,1,"BOERI, CRISTINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/561576,ita;eng,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"BOERI, CRISTINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/561578,ita;eng,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"BOERI, CRISTINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/561971,-,2007,-,-,-,-,-,neuroscienze; design,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,2,"BIONDI, EMANUELE;ROGNOLI, VALENTINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/562478,eng;ita,2007,-,-,-,-,-,Storia dell'architettura ottomana; architettura in legno; Turchia; Istanbul,01.1 Articolo in Rivista,none,1,"CIAGA', GRAZIELLA LEYLA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/562498,ita;eng,2003,Nessuno,-,-,-,-,Casa popolare; storia dell'architettura XX secolo; Milano,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"CIAGA', GRAZIELLA LEYLA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/562500,ita;eng,2001,-,-,-,-,-,Storia dell'architettura; restauro; museo; allestimento,01.1 Articolo in Rivista,none,1,"CIAGA', GRAZIELLA LEYLA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/562507,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"MURANO, FRANCESCO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/562601,ita,1998,-,-,-,-,-,Archivi di architettura e design; disegno di progetto; catalogazione; Luciano Baldessari; architettura italiana XX secolo; futurismo; razionalismo; Milano; Rovereto,01.1 Articolo in Rivista,none,1,"CIAGA', GRAZIELLA LEYLA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/562636,ita;eng,2009,-,-,-,-,-,Design for territorial development; Sustainable Tourism; Mediterranean Area,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"PARENTE, MARINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/562705,eng,2009,Esperti anonimi,-,-,-,-,Design Strategico; Scenario Building,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,4,"A. Rossi Filho;MERONI, ANNA;C. Monti;GALISAI, ROBERTO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563120,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"CEPPI, GIULIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563121,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"CEPPI, GIULIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563124,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"CEPPI, GIULIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563127,eng;ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,2,"CEPPI, GIULIO;MOJOLI, GIACOMO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563128,ita;eng,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"CEPPI, GIULIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563180,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,3,"INGARAMO, MATTEO ORESTE;PRADEL, PATRICK;PREVITALI, BARBARA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563201,eng,2009,-,-,-,-,-,"Interaction Design
Design research",01.1 Articolo in Rivista,none,1,"RIZZO, FRANCESCA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563271,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"DELL'ACQUA BELLAVITIS, ARTURO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563273,ita;eng,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"DELL'ACQUA BELLAVITIS, ARTURO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563296,eng;ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"BISSON, MARIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563329,ita;eng,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"BOSONI, GIAMPIERO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563339,ita;eng,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"DELL'ACQUA BELLAVITIS, ARTURO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563341,ita;eng,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"DELL'ACQUA BELLAVITIS, ARTURO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563344,eng;ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"DELL'ACQUA BELLAVITIS, ARTURO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563345,eng;ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"DELL'ACQUA BELLAVITIS, ARTURO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563346,ita;eng,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"DELL'ACQUA BELLAVITIS, ARTURO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563347,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"DELL'ACQUA BELLAVITIS, ARTURO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563348,ita;eng,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"DELL'ACQUA BELLAVITIS, ARTURO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563396,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"DELL'ACQUA BELLAVITIS, ARTURO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563415,eng,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,3,"Santos dos, A.;Pereira, C. S.;VEZZOLI, CARLO ARNALDO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563449,eng;ita,2009,"Sì, ma tipo non specificato",-,-,-,-,design; donne; Mediterraneo; social design,01.1 Articolo in Rivista,none,1,"FERRARA, MARIA RITA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563451,ita;eng,2009,-,-,-,-,-,Mediterraneo; Design; V.Pasca; E. Rozenberg; A. Cibic; W. Nochi,01.1 Articolo in Rivista,none,1,"FERRARA, MARIA RITA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563470,eng,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,3,"Santos dos A.;Krämer A.;VEZZOLI, CARLO ARNALDO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563531,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"FERRARA, MARIA RITA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563548,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"BUCCHETTI, VALERIA LUISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563565,eng,2009,-,-,-,-,-,"strategic design; design practice; SMEs; industrial 
clustersPalavras-chave: design estratégico; prática de design",01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"DESERTI, ALESSANDRO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563602,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,2,"BERIA, PAOLO;PONTI, MARCO GUIDO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563610,ita,2009,-,-,-,-,-,Cultural design; cultura urbana,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"TROCCHIANESI, RAFFAELLA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563644,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"CAPPELLIERI, ALBA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563645,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"CAPPELLIERI, ALBA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563646,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"CAPPELLIERI, ALBA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563647,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"CAPPELLIERI, ALBA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563648,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"CAPPELLIERI, ALBA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563649,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"CAPPELLIERI, ALBA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563651,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"CAPPELLIERI, ALBA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563666,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"GALBIATI, MARIA LUISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563667,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"PIARDI, SILVIA ELVIRA MARIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563681,eng;ita,2009,"Sì, ma tipo non specificato",-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"CALABI, DANIELA ANNA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563683,eng;ita,2009,Comitato scientifico,-,-,-,-,communication design; identity; urban design; haptic perception; design; cultural turism,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"CALABI, DANIELA ANNA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563695,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"PIARDI, SILVIA ELVIRA MARIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563706,eng;ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"BIAMONTI, ALESSANDRO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563714,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"BIAMONTI, ALESSANDRO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563717,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"DELL'ACQUA BELLAVITIS, ARTURO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563718,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"DELL'ACQUA BELLAVITIS, ARTURO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563836,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"FERRARA, MARIA RITA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563837,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,2,"LUPO, ELEONORA;C. Campagnaro"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563850,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"RATTI, ANDREA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563852,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"RATTI, ANDREA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563853,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"RATTI, ANDREA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/563854,eng;ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"RATTI, ANDREA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/564019,eng;jpn,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"BOSONI, GIAMPIERO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/564020,eng;jpn,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"BOSONI, GIAMPIERO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/564042,eng,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,3,"R. Aringhieri;BRUGLIERI, MAURIZIO;R. Cordone"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/564060,eng;ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"GEROSA, GIULIA MARIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/564061,eng;ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"GEROSA, GIULIA MARIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/564062,ita;eng,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"GEROSA, GIULIA MARIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/564063,eng;ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"GEROSA, GIULIA MARIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/564115,eng;ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"SCULLICA, FRANCESCO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/564316,spa;ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"VILLARI, BEATRICE"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/564321,ita,2008,-,-,-,-,-,-,01.1 Articolo in Rivista,none,2,"AMORUSO, GIUSEPPE;C. Bartolomei"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/564329,ita,2009,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"AMORUSO, GIUSEPPE"
