dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.circulation,dc.relation.medium,dc.relation.conferenceplace,dc.title,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/582636,ita,2010,nazionale,-,-,Apparecchio per la riabilitazione,-,05.1 Brevetto,info:eu-repo/semantics/closedAccess,2,"CANINA, MARIA RITA;S. Lang"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/622773,ita,2011,nazionale,-,-,Contenitore per pizze,-,05.1 Brevetto,none,2,"Andrea Rizzardi;FERRARO, VENERE"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/643329,ita,2003,nazionale,-,-,Contenitore termicamente isolato particolarmente isolato per bevande e simili,contenitori temici; thermos; antiurto,05.1 Brevetto,info:eu-repo/semantics/closedAccess,2,"MANGIAROTTI, RAFFAELLA;BAZZICALUPO, LEOPOLDO MATTEO"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/643330,ita;eng,2007,internazionale,-,-,hairdrier device,asciugacapelli a doppio flusso,05.1 Brevetto,info:eu-repo/semantics/closedAccess,2,"MANGIAROTTI, RAFFAELLA;BAZZICALUPO, LEOPOLDO MATTEO"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/643332,ita,2008,internazionale,-,-,Dispositivo audioluminoso per esterni,dispositivo audioluminoso per esterni,05.1 Brevetto,info:eu-repo/semantics/closedAccess,3,"MANGIAROTTI, RAFFAELLA;BAZZICALUPO, LEOPOLDO MATTEO;charon srl"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/643731,ita,2012,europeo,-,-,PARETE MOBILE E SISTEMA CON FUNZIONI DI OTTIMIZZAZIONE DI CONDIZIONI AMBIENTALI,"sistema integrato, pareti mobili interne, facciate continue, regolazione UR%, pressione T°,",05.1 Brevetto,info:eu-repo/semantics/closedAccess,1,"BRUNO, DAVIDE MARIA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/643732,eng,2012,internazionale,-,-,Movable wall and system with environmental condition optimisation functions,-,05.1 Brevetto,info:eu-repo/semantics/openAccess,6,"BRUNO, DAVIDE MARIA;Merra, M.;Paracchini, L.;FUSAR POLI, E.;Giola, F.;Cambiaghi, A."
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/664562,eng,2011,internazionale,-,-,O'Hand,-,05.1 Brevetto,none,2,"CANINA, MARIA RITA;S. Lang"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/687790,ita,2012,nazionale,-,-,APPARATO PORTATILE PER COTTURA ALLA GRIGLIA,-,05.1 Brevetto,info:eu-repo/semantics/closedAccess,3,"ANSELMI, LAURA;M. Buffoli;A. Grasselli"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/688626,ita,2012,nazionale,-,-,Dispositivo portatile di allenamento fisico e kit comprendente tale dispositivo,allenamento fisico; fitness,05.1 Brevetto,info:eu-repo/semantics/closedAccess,3,"ANSELMI, LAURA;A. Grasselli;A. Anedda"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/688635,ita,2012,nazionale,-,-,Dispositivo portatile di allenamento fisico e kit comprendente tale dispositivo,-,05.1 Brevetto,info:eu-repo/semantics/closedAccess,3,"ANSELMI, LAURA;A. Grasselli;A. Anedda"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/689990,eng,2011,internazionale,-,-,WHS ITEM OF CLOTHING FOR DETECTION OF VITAL PARAMETERS OF A BABY,-,05.1 Brevetto,info:eu-repo/semantics/closedAccess,4,"ANDREONI, GIUSEPPE;L. A. L. Moltani;R. Zanini;R. C. Bellu'"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/693688,ger;eng;fra,2007,internazionale,-,-,Chair Strcture,-,05.1 Brevetto,none,4,"M. De Bonis;ROMERO, MAXIMILIANO ERNESTO;COSTA, FIAMMETTA CARLA ENRICA;G. Gualandi"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/703133,ita,2011,nazionale,STAMPA,-,Dispositivo di seduta e relativa sella,bicicletta; accessori sella,05.1 Brevetto,info:eu-repo/semantics/closedAccess,2,"BRUNO, DAVIDE MARIA;ANDREONI, GIUSEPPE"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/776927,-,2010,internazionale,-,-,Capo di vestiario di tipo BSI per il rilevamento di parametri vitali di un neonato,-,05.1 Brevetto,none,4,"ANDREONI, GIUSEPPE;L. Moltani;R. Zanini;R. Bellù"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/918155,eng,2013,internazionale,-,-,Coperta inventa storie,-,05.1 Brevetto,none,2,"Valentina Nuccio;CELI, MANUELA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/930358,ita;eng,2015,internazionale,-,-,Sistema ambientale per la terapia del treno,Design; Alzheimer’s disease; Healthcare,05.1 Brevetto,info:eu-repo/semantics/closedAccess,3,"BIAMONTI, ALESSANDRO;I. Cilesi;L. Lani"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/930361,eng;ita,2015,internazionale,-,-,Cabina Terapeutica,Design; Alzheimer’s disease; no pharmacological therapies,05.1 Brevetto,info:eu-repo/semantics/closedAccess,2,"BIAMONTI, ALESSANDRO;GRAMEGNA, SILVIA MARIA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/969233,ita,2015,nazionale,-,-,Giunto ad incastro con sfere,-,05.1 Brevetto,info:eu-repo/semantics/closedAccess,2,"Posada, Miguel Melo;FERRARO, VENERE"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/974606,ita,2015,nazionale,-,-,Set da costruzione per bambini,-,-,none,2,"Melo Posada, Miguel;FERRARO, VENERE"
