dc.type.full,dc.identifier.uri,dc.language.iso,dc.type.circulation,dc.relation.medium,dc.relation.conferenceplace,dc.title,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/579141,ita,nazionale,-,-,SISTEMA DI PUNTAMENTO DELLE SORGENTI LUMINOSE IN APPARECCHI DI ILLUMINAZIONE,05.1 Brevetto,info:eu-repo/semantics/closedAccess,1,"MURANO, FRANCESCO"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/579142,ita,nazionale,-,-,SISTEMA DI TRASPORTO DI ENERGIA ELETTRICA A BASSO VOLTAGGIO IN PARTICOLARE PER L'ALIMENTAZIONE DI PIANI DI APPOGGIO MUNITI DI SORGENTE,05.1 Brevetto,info:eu-repo/semantics/closedAccess,1,"MURANO, FRANCESCO"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/643330,ita;eng,internazionale,-,-,hairdrier device,05.1 Brevetto,info:eu-repo/semantics/closedAccess,2,"MANGIAROTTI, RAFFAELLA;BAZZICALUPO, LEOPOLDO MATTEO"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/693688,ger;eng;fra,internazionale,-,-,Chair Strcture,05.1 Brevetto,none,4,"M. De Bonis;ROMERO, MAXIMILIANO ERNESTO;COSTA, FIAMMETTA CARLA ENRICA;G. Gualandi"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/545462,ita,nazionale,-,-,Dispositivo di cottura,05.1 Brevetto,info:eu-repo/semantics/closedAccess,5,"D. Bongini;CANINA, MARIA RITA;FERRARO, VENERE;L. Melotti;S. Palmeto"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/643332,ita,internazionale,-,-,Dispositivo audioluminoso per esterni,05.1 Brevetto,info:eu-repo/semantics/closedAccess,3,"MANGIAROTTI, RAFFAELLA;BAZZICALUPO, LEOPOLDO MATTEO;charon srl"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/533023,ita,nazionale,-,-,Sistema per il varo e l'alaggio di imbarcazioni,05.1 Brevetto,info:eu-repo/semantics/closedAccess,2,"RATTI, ANDREA;FUMAGALLI G."
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/564171,ita,nazionale,-,-,Dispositivo aspiratore/erogatore per un liquido,05.1 Brevetto,info:eu-repo/semantics/closedAccess,3,"G. Bortoluzzi;ANSELMI, LAURA;A. Grasselli"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/566421,eng,internazionale,-,-,KNOT RING,05.1 Brevetto,info:eu-repo/semantics/closedAccess,1,"CAPPELLIERI, ALBA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/575806,ita,nazionale,-,-,Dispositivo di riabilitazione,05.1 Brevetto,info:eu-repo/semantics/closedAccess,2,"CANINA, MARIA RITA;S. Lang"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/582632,ita,nazionale,-,-,Apparecchio per la riabilitazione,05.1 Brevetto,info:eu-repo/semantics/closedAccess,2,"CANINA, MARIA RITA;S. Lang"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/582634,ita,nazionale,-,-,Apparecchio per la riabilitazione,05.1 Brevetto,info:eu-repo/semantics/closedAccess,2,"CANINA, MARIA RITA;S. Lang"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/582636,ita,nazionale,-,-,Apparecchio per la riabilitazione,05.1 Brevetto,info:eu-repo/semantics/closedAccess,2,"CANINA, MARIA RITA;S. Lang"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/776927,-,internazionale,-,-,Capo di vestiario di tipo BSI per il rilevamento di parametri vitali di un neonato,05.1 Brevetto,none,4,"ANDREONI, GIUSEPPE;L. Moltani;R. Zanini;R. Bellù"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/547230,eng;ita,internazionale,-,-,Zip fastener slider including an electronic anti-counterfeiting device situated inside the slider and/or the relative puller,05.1 Brevetto,info:eu-repo/semantics/closedAccess,2,"MANGIAROTTI, RAFFAELLA;S. Dotti"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/622773,ita,nazionale,-,-,Contenitore per pizze,05.1 Brevetto,none,2,"Andrea Rizzardi;FERRARO, VENERE"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/664562,eng,internazionale,-,-,O'Hand,05.1 Brevetto,none,2,"CANINA, MARIA RITA;S. Lang"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/689990,eng,internazionale,-,-,WHS ITEM OF CLOTHING FOR DETECTION OF VITAL PARAMETERS OF A BABY,05.1 Brevetto,info:eu-repo/semantics/closedAccess,4,"ANDREONI, GIUSEPPE;L. A. L. Moltani;R. Zanini;R. C. Bellu'"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/703133,ita,nazionale,STAMPA,-,Dispositivo di seduta e relativa sella,05.1 Brevetto,info:eu-repo/semantics/closedAccess,2,"BRUNO, DAVIDE MARIA;ANDREONI, GIUSEPPE"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/643731,ita,europeo,-,-,PARETE MOBILE E SISTEMA CON FUNZIONI DI OTTIMIZZAZIONE DI CONDIZIONI AMBIENTALI,05.1 Brevetto,info:eu-repo/semantics/closedAccess,1,"BRUNO, DAVIDE MARIA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/643732,eng,internazionale,-,-,Movable wall and system with environmental condition optimisation functions,05.1 Brevetto,info:eu-repo/semantics/openAccess,6,"BRUNO, DAVIDE MARIA;Merra, M.;Paracchini, L.;FUSAR POLI, E.;Giola, F.;Cambiaghi, A."
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/687790,ita,nazionale,-,-,APPARATO PORTATILE PER COTTURA ALLA GRIGLIA,05.1 Brevetto,info:eu-repo/semantics/closedAccess,3,"ANSELMI, LAURA;M. Buffoli;A. Grasselli"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/688626,ita,nazionale,-,-,Dispositivo portatile di allenamento fisico e kit comprendente tale dispositivo,05.1 Brevetto,info:eu-repo/semantics/closedAccess,3,"ANSELMI, LAURA;A. Grasselli;A. Anedda"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/688635,ita,nazionale,-,-,Dispositivo portatile di allenamento fisico e kit comprendente tale dispositivo,05.1 Brevetto,info:eu-repo/semantics/closedAccess,3,"ANSELMI, LAURA;A. Grasselli;A. Anedda"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/918155,eng,internazionale,-,-,Coperta inventa storie,05.1 Brevetto,none,2,"Valentina Nuccio;CELI, MANUELA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1041805,ita,nazionale,-,-,Sistema indossabile per il monitoraggio delle performance del nuotatore,05.1 Brevetto,none,4,"G. Andreoni;MOLTANI, LARA ALESSIA LAURA;P. Perego;LAVEZZARI, RICCARDO"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1038529,-,nazionale,-,-,WEARABLE SYSTEM FOR MONITORING A SWIMMER'S PERFORMANCE,05.1 Brevetto,info:eu-repo/semantics/openAccess,4,ANDREONI GIUSEPPE;LAVEZZARI RICCARDO;PEREGO PAOLO;MOLTANI LARA ALESSIA LAURA
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/930358,ita;eng,internazionale,-,-,Sistema ambientale per la terapia del treno,05.1 Brevetto,info:eu-repo/semantics/closedAccess,3,"BIAMONTI, ALESSANDRO;I. Cilesi;L. Lani"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/930361,eng;ita,internazionale,-,-,Cabina Terapeutica,05.1 Brevetto,info:eu-repo/semantics/closedAccess,2,"BIAMONTI, ALESSANDRO;GRAMEGNA, SILVIA MARIA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/969233,ita,nazionale,-,-,Giunto ad incastro con sfere,05.1 Brevetto,info:eu-repo/semantics/closedAccess,2,"Posada, Miguel Melo;FERRARO, VENERE"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/974606,ita,nazionale,-,-,Set da costruzione per bambini,05.1 Brevetto,none,2,"Melo Posada, Miguel;FERRARO, VENERE"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1002912,eng,nazionale,-,-,ICE BLOCK GLASS,05.1 Brevetto,info:eu-repo/semantics/closedAccess,1,"MURANO, FRANCESCO"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1006914,ita,nazionale,-,-,Dispositivo educativo interattivo,05.1 Brevetto,info:eu-repo/semantics/closedAccess,5,"Sonia, China;FERRARO, VENERE;Belen, Corradi;Marius, Holter;Kasper, Pietrzykowski"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1007045,ita,nazionale,-,-,GIOCO TATTILE PER NON VEDENTI,05.1 Brevetto,info:eu-repo/semantics/closedAccess,1,"FERRARO, VENERE;Lorenzo Sarghini"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1011853,ita,nazionale,-,-,Dispositivo di navigazione indossabile da una persona,05.1 Brevetto,info:eu-repo/semantics/closedAccess,4,"CHE ME, ROSALAM;BIAMONTI, ALESSANDRO;FERRARO, VENERE;Stepanovic, M."
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1026966,-,nazionale,-,-,Metodo e dispositivo indossabile per il controllo di inquinanti gassosi,05.1 Brevetto,info:eu-repo/semantics/closedAccess,2,"FERRARO, VENERE"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1028484,ita,nazionale,-,-,"SISTEMA PLURISENSORIALE ADATTATO PER LA PREVENZIONE DI MALATTIE PROFESSIONALI NELL’AMBIENTE
DI LAVORO, E METODO PER L’USO DEL SISTEMA",05.1 Brevetto,info:eu-repo/semantics/closedAccess,7,"JANSEN, KASPAR;MOLTANI, ALESSIA;STEPANOVIC, MILA;FERRARO, VENERE;FERRARIS, SILVIA DEBORAH;ANDREONI, GIUSEPPE;CAPPELLIERI, ALBA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1031972,eng,europeo,-,-,MUtable. Interactive Children’s table,05.1 Brevetto,info:eu-repo/semantics/closedAccess,2,"TOLINO, UMBERTO;Venturelli, Luca"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1045202,ita,nazionale,-,-,Culla per neonati,05.1 Brevetto,info:eu-repo/semantics/closedAccess,4,"BELTRAMI, BENEDETTA;BISSON Mario;ANDREIS Diego;BARNI, GRETA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1052998,eng;ita,internazionale,-,-,Apparato e metodo per illuminare oggetti,05.1 Brevetto,info:eu-repo/semantics/closedAccess,2,F. MURANO;M. CELI
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1056092,ita,nazionale,-,-,APPARECCHIATURA MISCELATRICE E DOSATRICE DI PRODOTTI DETERGENTI,05.1 Brevetto,info:eu-repo/semantics/closedAccess,4,"GENNA, CRISTINA;Palmieri, Stefania;ANDREIS, DIEGO VITTORIO;Barni, Greta"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1059394,eng,internazionale,-,-,"PLURISENSORIAL SYSTEM ADAPTED FOR THE PREVENTION OF PROFESSIONAL DISEASES IN THE WORKING ENVIRONMENT, AND METHOD FOR THE USE OF THE SYSTEM”",05.1 Brevetto,info:eu-repo/semantics/openAccess,7,Venere Ferraro;Giuseppe Andreoni;Alba Cappellieri;Silvia Ferraris;Kaspar Jansen;Alessia Moltani;Mila Stepanovic
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1059395,eng,internazionale,-,-,WEARABLE DEVICE FOR CONTROLLING GASEOUS POLLUTANTS,05.1 Brevetto,info:eu-repo/semantics/openAccess,2,Venere Ferraro;Mila Stepanovic
