dateissued	typefull	identifier	title	descriptionallpeople																																		
2014	 Contributo  Atti  convegno	httphandlenet11311958169	DesignArtigianato latino Artesano valorizzazione  pratiche artigianali colombiane	 Trocchianesi  Canon Pineros																																		
2014	 Contributo  Atti  convegno	httphandlenet11311958178	Designing  City Identity Strategic  Product Design   Experiential Ways  Living Enabling  Interacting with  Urban Context	Marina Parente																																		
2014	 Contributo  Atti  convegno	httphandlenet11311958213	Chemical Hazard   Pleasure boats Manufacturing	 Frassine  Fusaro  Ratti																																		
2014	 Contributo  Atti  convegno	httphandlenet11311958214	Waterbased Public Transport Accessibility  Case Study   Internal Waters  Northern Italy	 Ercoli  Ratti  Piardi																																		
2014	 Contributo  Atti  convegno	httphandlenet11311958217	Sailing  Stroke Rehabilitation Strategy	 Romero  Andreoni  PIardi  Ratti  Imamogullari  Molteni																																		
2014	 Contributo  Atti  convegno	httphandlenet11311958371	Bordiga  promotore delle Biennali darte	Mazzanti																																		
2014	 Contributo  Atti  convegno	httphandlenet11311958574	Affrontare  divario generazionale tecnologico attraverso  gioco	 Mariani  Catapano																																		
2014	 Contributo  Atti  convegno	httphandlenet11311958576	 game  social activator between Design  Sociology  multidisciplinary framework  analyse  improve  ludic experiences  their social impact	Ilaria Mariani Enrico Gandolfi																																		
2014	 Contributo  Atti  convegno	httphandlenet11311958577	Perspectival geometries   Sacred Mount  Ossuccio	giuseppe amoruso alberto sdegno silvia masserano																																		
2014	 Contributo  Atti  convegno	httphandlenet11311958579	Prospettiva  colore Significati geometrici  cromatici nellarchitettura  quadratura	giuseppe amoruso vita maria firenze																																		
2014	 Contributo  Atti  convegno	httphandlenet11311958581	Limmagine  paesaggi urbani storici  rilievo multimediale   della conoscenza presso  Lago  Como	Giuseppe Amoruso																																		
2014	 Contributo  Atti  convegno	httphandlenet11311958583	Architectural  landscape Liberty heritage  Varese area design  knowledge conservation  enhancement	Anzani  Baila   Caramel  Guarisco 																																		
2014	 Contributo  Atti  convegno	httphandlenet11311958584	Design  knowledge  restoration  Instrumental survey  Santa Maria   Celso	 Baila  Mazza  Anzani																																		
2014	 Contributo  Atti  convegno	httphandlenet11311958760	When Human Body Meets Technology  Designer Approach  Wearable Devices	Venere Ferraro Matteo Ingaramo																																		
2014	 Contributo  Atti  convegno	httphandlenet11311958955	SPELL Affecting Thermal Comfort Through Perceptive Techniques	 Vitali  Spadafora  Nacci  Sciuto  Pillan																																		
2014	 Contributo  Atti  convegno	httphandlenet11311958956	Sketching interactive experiences Video scenarios  support imagination  design	 Pillan  Spadafora  Vitali																																		
2014	 Contributo  Atti  convegno	httphandlenet11311958958	Foretelling  Shaping  Future  Technology  Role  Communication Designers   Design  Innovation	 Pillan  Spadafora  Vitali																																		
2014	 Contributo  Atti  convegno	httphandlenet11311958960	Expanding interior design through humanities	Elena Enrica Giunta Agnese Rebaglio Francesco Ruffa																																		
2014	 Contributo  Atti  convegno	httphandlenet11311959180	ORDERED DENSITY URBAN SPACE  AGGREGATION SOLUTIONS	 Gerosa																																		
2014	 Contributo  Atti  convegno	httphandlenet11311959221	  WEARABLE COMPUTING APPLIED  PARKOUR	 FEDRIGO  ROMERO  ZAMBELLI   SOLDATI																																		
2014	 Contributo  Atti  convegno	httphandlenet11311959222	WEARABLE COMPUTING PROTOTYPING EXPERIENCES  DESIGN SCHOOL COURSES	 ROMERO   SOLDATI  VIGNATI																																		
2014	 Contributo  Atti  convegno	httphandlenet11311959243	Designing Design Labs	Maffei Bolzan Bianchini																																		
2014	 Contributo  Atti  convegno	httphandlenet11311959248	Beyond social innovation design  cultures activeaction	Lupo	 																																	
2014	 Contributo  Atti  convegno	httphandlenet11311959250	Advanced Design Relationship  Mutual Reframing between Global Makers  Local Craftsmen	Celeschi  Lupo   Noriega 																																		
2014	 Contributo  Atti  convegno	httphandlenet11311959382	Design  inventive process  contribution  design semiotics	ZINGALE 																																		
2014	 Contributo  Atti  convegno	httphandlenet11311959619	DEVELOPING STUDENTS SKILLS  EXPERIENCE DESIGN THROUGH INDUSTRY COLLABORATIONS	Ferraris	 SILVIA DEBORAH Colombo	 Sara Bergamaschi	 Sara Takayuki	 Higuchi 	 Tomioka																													
2014	 Contributo  Atti  convegno	httphandlenet11311959984	 Makers contradiction  shift from  counterculturedriven  production    form   consumption	 Arquilla  Bianchini  Carelli																																		
2014	 Contributo  Atti  convegno	httphandlenet11311959986	FabLand Making digitalanalog distributed urban production ecosystems	 Arquilla  Bianchini  Maffei  Carelli																																		
2014	 Contributo  Atti  convegno	httphandlenet11311959989	 ethical approach  design teaching  Meta  experience from  Social Innovation perspective	 Arquilla  Simonelli  Genco  Guaricci																																		
2014	 Contributo  Atti  convegno	httphandlenet11311960005	 cooperative model between university  social alliances  enabling young students  face practical  ethical issues   design process leading  social innovation  meta experience	 Arquilla  Simonelli  Genco  Guaricci																																		
2014	 Contributo  Atti  convegno	httphandlenet11311960006	L'approccio storico  design Stereotipi aporie paradigmi 	 Giallocosta   Tonelli																																		
2014	 Contributo  Atti  convegno	httphandlenet11311963732	BORDERS Visual analysis  Cinemas inner dynamics  evolutions  case study based   Internet Movie Database	Magni	  Ciuccarelli	  Uboldi	  Caviglia	 																														
2014	 Contributo  Atti  convegno	httphandlenet11311965938	Service Design   approach   Service Development reflections  future studies	Sangiorgi	 Daniela 	 																																
2014	 Contributo  Atti  convegno	httphandlenet11311968233	 Theoretical Framework  Studying Service Design Practices First steps   mature field	Sangiorgi	 Daniela Prendiville	 Daniela																																
2014	 Contributo  Atti  convegno	httphandlenet11311971194	 Service Models   Service Places  Times  Crisis  citizens activism  changing    design services	Selloni	 Daniela																																	
2014	 Contributo  Atti  convegno	httphandlenet11311972628	Interferenze digitali Un'estetica delle pratiche digitali  supporto  discorso  design	Bertolotti	  D'Urzo	  Piredda	 																															
2014	 Contributo  Atti  convegno	httphandlenet11311976843	Narrare  Territorio Dispositivi  Strategie d'Innovazione   Spazi Percepiti	Baule	 Giovanni Calabi	 DANIELA ANNA Scuri	 Sabrina																															
2014	 Contributo  Atti  convegno	httphandlenet11311979581	Urban Colour Design Planning  design  urban colour	Boeri	 Cristina																																	
2014	 Contributo  Atti  convegno	httphandlenet11311995073	 innovative bike  children play  rehabilitation	Standoli	 Carlo Emilio Romero	 Maximiliano Vazzoler	 Giancarlo Andreoni	 Giuseppe																														
2014	 Contributo  Atti  convegno	httphandlenet11311995075	Using Santos   Design  Working Environment  Sonographers  Order  Minimize  Risks  Musculoskeletal Disorders   Satisfy  Clinical Recommendations	Mazzola	 	 Forzoni	 	 DOnofrio	 	  Standoli   Andreoni 																												
2015	 Contributo  Atti  convegno	httphandlenet113111000222	COMMUNICATION DESIGN  GENDER CULTURES  RESEARCH    DESIGN PROJECT  CONCRETE ACTIONS    PLACES  EDUCATION	BAULE	 GIOVANNI BUCCHETTI	 VALERIA LUISA CARATTI	 ELENA REINA	 MARTA ISABELLA TOLINO	 UMBERTO																													
2015	 Contributo  Atti  convegno	httphandlenet113111004058	EARTHSPLOITATION GAME DESIGN RESEARCH  EXPERIMENTATION  FOOD SUSTAINABILITY	Bertolo	 Maresa Mariani	 Ilaria Ruffino	 Giulia																															
2015	 Contributo  Atti  convegno	httphandlenet113111004203	Exploring aesthetic interactions through prototyping  role  experiential prototype  design  knowledge generation	Bordegoni	 Monica Colombo	 Sara Pillan	 Margherita Rampino	 Lucia																														
2015	 Contributo  Atti  convegno	httphandlenet113111005120	 Consequences  Things  Semiotics   Pragmatistic Route  Designing	Salvatore	 Zingale Felipe	 Domingues																																
2015	 Contributo  Atti  convegno	httphandlenet113111006783	Designing from  Unfamiliar  Designing  Space  Extreme Environments  Generate Spin  Innovate Product Strategies	Dominoni	 Annalisa																																	
2015	 Contributo  Atti  convegno	httphandlenet113111018054	Product Language design options  launching  technology breakthrough	Cautela	 																																	
2015	 Contributo  Atti  convegno	httphandlenet113111018557	Wayfinding Intervention Strategies  Alzheimers Disease Patients  Review  Design  Technological Approaches	Biamonti	 Alessandro  	 																																
2015	 Contributo  Atti  convegno	httphandlenet113111018575	Design close  innovation still faraway from innovation policies	Cappellini	  Vignati	 																																
2015	 Contributo  Atti  convegno	httphandlenet113111018678	DONT REINVENT  WHEEL  DESIGN DRIVEN AGENDA  CULTURAL  CREATIVE INDUSTRIES	Sedini	 Carla																																	
2015	 Contributo  Atti  convegno	httphandlenet113111018795	Streetlevel City Analytics Mapping  Amsterdam Knowledge Mile	Niederer	 Sabine Colombo	 Gabriele Mauri	 Michele Azzi	 Matteo																														
2015	 Contributo  Atti  convegno	httphandlenet113111019063	Tactile  visual action plan sensoriality  access design	Bucchetti	 VALERIA LUISA																																	
2015	 Contributo  Atti  convegno	httphandlenet113111019498	 colore Munari	Mazzanti	 Anna																																	
2015	 Contributo  Atti  convegno	httphandlenet113111019504	Trends  Strategies  Design Driven Innovation	Pillan	 																																	
2015	 Contributo  Atti  convegno	httphandlenet113111019541	 Milano Design Week Events Operators Business Models	Deserti	  Rizzo	  Cobanli	 																															
2015	 Contributo  Atti  convegno	httphandlenet113111019650	Placeidentity representation  assessment  historic urban landscapes	Giuseppe	 Amoruso																																	
2015	 Contributo  Atti  convegno	httphandlenet113111019726	MADEC Exploring  methodologies  transfer material knowledge into design disciplines	Chiara Lecce																																		
2015	 Contributo  Atti  convegno	httphandlenet113111019727	Digital interaction  tangible experiences  theoretical investigation	Chiara Lecce																																		
2015	 Contributo  Atti  convegno	httphandlenet113111020522	Entrepreneurship   Creative  Cultural Sector	Arianna Vignati																																		
2015	 Contributo  Atti  convegno	httphandlenet113111029670	Creativity  Design Tools   Emotional Approach  Learning	Canina	 MARIA RITA Coccioni	 MARIA ELISABETTA Anselmi	 Laura																															
2015	 Contributo  Atti  convegno	httphandlenet113111049502	PLANET  SMART CITY Presentazione  progetto  Expo 2015	Bruno	 DAVIDE MARIA																																	
2015	 Contributo  Atti  convegno	httphandlenet113111053008	Social data mining  seasonal influenza forecasts  FluOutlook platform	Zhang	 Qian Gioannini	 Corrado Paolotti	 Daniela Perra	 Nicola Perrotta	 Daniela Quaggiotto	 Marco Tizzoni	 Michele Vespignani	 Alessandro																										
2015	 Contributo  Atti  convegno	httphandlenet11311940757	Societal Controversies  Wikipedia Articles	Erik Borra Esther Weltevrede Paolo CiuccarelliAndreas  KaltenbrunnerDavid  LaniadoGiovanni  MagniMichele  MauriRichard  RogersTommaso  Venturini																																		
2015	 Contributo  Atti  convegno	httphandlenet11311958194	ADVANCED DESIGN PRACTICES  SHARING FUTURES   FOCUS  DESIGN FICTION	Manuela Celi Elena Formia																																		
2015	 Contributo  Atti  convegno	httphandlenet11311958560	 narrative approach   design  physical  relational spaces	Anna Anzani Fabio Maroldi																																		
2015	 Contributo  Atti  convegno	httphandlenet11311960019	Training  Educating   Generation  Designers	 Guerrini  Jarauta  Rampino																																		
2015	 Contributo  Atti  convegno	httphandlenet11311961201	Designing  system interface  elderly people   smart home system  practice based research	Ferraro	 Venere Rampino	 Lucia																																
2015	 Contributo  Atti  convegno	httphandlenet11311965583	 SIIG   mappatura  rischio associato  trasporto  sostanze pericolose applicazione  aree vulnerabili  contesto lombardo	Borghetti	 Fabio Gandini	 Paolo Studer	 Luca Todeschini	 Veronica Pastorelli	 Giuseppe																													
2015	 Contributo  Atti  convegno	httphandlenet11311965585	Tecnologie   lanalisi dellaccessibilita  ferroviaria  emergenza	Borghetti	 Fabio Paolo	 Gandini Giovanna	 Marchionni Marco	 Ponti																														
2015	 Contributo  Atti  convegno	httphandlenet11311965931	From Dissemination  Engagement  Action  Ethics  Communication Design	Caratti	  Ciuccarelli	  Roxburgh	   																															
2015	 Contributo  Atti  convegno	httphandlenet11311967197	Exercises  style	Piardi	 Silvia Ponzio	 Angelica PAIVA																																
2015	 Contributo  Atti  convegno	httphandlenet11311967198	Come      Design Hotel Experience	Ponzio	 Angelica Piardi	 Silvia																																
2015	 Contributo  Atti  convegno	httphandlenet11311967269	   Design Thinking Techniques  Architectural Education	Ponzio	 Angalica Paiva Piardi	 Silvia																																
2015	 Contributo  Atti  convegno	httphandlenet11311967689	 Reverse Engineering  Emotions	Mariani	 Ilaria Telalbasic	 																																
2015	 Contributo  Atti  convegno	httphandlenet11311968271	Worker build your  machinery  workshop  practice  Technological Disobedience	Rognoli	  Oroza	 																																
2015	 Contributo  Atti  convegno	httphandlenet11311968864	Tangible Smart  Dynamic Objects     Aesthetics Affects Meaning  Experience	Colombo	  Djajadiningrat	  Rampino	 																															
2015	 Contributo  Atti  convegno	httphandlenet11311969234	 INVESTIGATION   TECHNOLOGIES   NOVEL CONCEPT   PLURISENSORIAL WEARABLE DEVICE  PREVENT OCCUPATIONAL DISEASE	Ferraro	 Venere																																	
2015	 Contributo  Atti  convegno	httphandlenet11311969319	PRODUCT EXPERIENCE  WELLBEING  INTERACTIVE INTERPRETER  DIABETIC CHILDREN	Ferraro	 Venere																																	
2015	 Contributo  Atti  convegno	httphandlenet11311970272	Social Media Fiction Designing Stories  Community Engagement	Piredda	 Francesca Ciancia	 Mariana Venditti	 Simona																															
2015	 Contributo  Atti  convegno	httphandlenet11311970533	MADEC Material Design Culture	Ferrara	 Marinella Lecce	 Chiara																																
2015	 Contributo  Atti  convegno	httphandlenet11311970573	Service Design  Social Innovation  communitybased initiative  creating social enterprise	Maffei	 Stefano Villari	 Beatrice Parini	 Barbara																															
2015	 Contributo  Atti  convegno	httphandlenet11311970574	Experimenting  Prototyping   Design  Changing Phenomenology	Maffei	 Stefano Banerjee	 Banny Bertola	 Paola																															
2015	 Contributo  Atti  convegno	httphandlenet11311970575	Designing  making  school  first systemic overview  Makers  Italy  their educational contexts	Maffei	  Bianchini	  Menichinelli	  Carosi	 																														
2015	 Contributo  Atti  convegno	httphandlenet11311970576	Assessing European Design Policy Towards  Evaluation Culture	Maffei	  Mortati	  Villari	  Arquilla	 																														
2015	 Contributo  Atti  convegno	httphandlenet11311970833	Experience  Digital Dioramas  Interactive Whiteboard	Standoli	   Costa	  Mazzola	  Muschiato	 	 Zambarbieri	 																												
2015	 Contributo  Atti  convegno	httphandlenet11311971195	 Design  Contribute  Infrastructuring Bottom Initiatives into PublicInterest Services	Selloni	 Daniela																																	
2015	 Contributo  Atti  convegno	httphandlenet11311971209	 Colour  served Synesthesia   taste  Futuristic Cuisine	Rossi	 Michela Mele	 Giampiero																																
2015	 Contributo  Atti  convegno	httphandlenet11311971211	 cimitero  citta   architettura  Villetta  Parma come rappresentazione urbana  cemetery between city  architecture	Rossi	 Michela																																	
2015	 Contributo  Atti  convegno	httphandlenet11311971581	Designing through additive manufacturing present  future discussion	Bolzan	  Mortati	 																																
2015	 Contributo  Atti  convegno	httphandlenet11311971668	     Locating Helicopter Emergency Medical Service HEMS Operating Sites	Bruglieri	  Cardani	  Putzu	 																															
2015	 Contributo  Atti  convegno	httphandlenet11311971685	TOWARDS  SERVICE EVALUATION CULTURE   contemporary issue  service design	Foglieni	 Francesca Student	   Milano	 Politecnico Italy	  Francescafoglienipolimiit	 FrancescaFoglienipolimi Villari	 Beatrice Fellow	 Research  Milano	 Politecnico Italy	  Beatricevillaripolimiit	 BeatriceVillaripolimi																								
2015	 Contributo  Atti  convegno	httphandlenet11311971909	 Journey into Social Innovation Incubation  TRANSITION Project	Marta	 Corubolo Anna	 Meroni																																
2015	 Contributo  Atti  convegno	httphandlenet11311971910	Design  Incubating  Scaling Innovation	Cautela	 Cabirio Meroni	 Anna Muratovski	 Gjoko																															
2015	 Contributo  Atti  convegno	httphandlenet11311971929	Synaesthesia  Semantics   Visual Communication  Food  Encounter  Practice   Ways  Thinking  Social Benefits	Ricco	  Gunetti	  Andriani	 																															
2015	 Contributo  Atti  convegno	httphandlenet11311971979	MuVi4 Entre  abstraccia   iconicidad	Dina	 Ricco	  Josa  rdoba Serrano																																
2015	 Contributo  Atti  convegno	httphandlenet11311972204	 forum   desires  area  Parco Sempione  Castello Sforzesco  Milan between utopia  construction   actual city  foro  desideri L'area  Parco Sempione  Milano  utopia  costruzione della citta  reale	Iarossi	 Maria Pompeiana Conte	 Sara																																
2015	 Contributo  Atti  convegno	httphandlenet11311972336	Kinetic Materials Experience	Ferrara	 Marinella Bengisu	 Murat																																
2015	 Contributo  Atti  convegno	httphandlenet11311972631	Telling  Stories  Design  Social Innovation Towards  Ecology  Times	Tassinari	 Virginia Bertolotti	 Elisa Daam	 Heather Piredda	 Francesca																														
2015	 Contributo  Atti  convegno	httphandlenet11311972726	Objects   Slaves Envisioning  Aesthetic Approach   Design   Interactive Dialogue with Objects	Spadafora	  Vitali	  Pillan	 																															
2015	 Contributo  Atti  convegno	httphandlenet11311972728	Mind Your Deep Breath Communicating Pollution Issues  China Through Visual Artifacts	Pillan	 Margherita																																	
2015	 Contributo  Atti  convegno	httphandlenet11311972956	 Generation  Hospitality Spaces	Scullica	  Elgani	 																																
2015	 Contributo  Atti  convegno	httphandlenet11311972961	Hotels Interior Spaces  Example  Cross Fertilization	Scullica	  Elgani	 																																
2015	 Contributo  Atti  convegno	httphandlenet11311973025	  Garden Designing Gardens Through Storytelling	Piredda	 Francesca Fassi	 Davide																																
2015	 Contributo  Atti  convegno	httphandlenet11311973068	Digital aesthetic   products obtained  selective laser melting process	Guagliano	 Mario Previtali	 Barbara Rampino	 Lucia Galimberti	 Giorgia																														
2015	 Contributo  Atti  convegno	httphandlenet11311973300	thinking  Environment Through Games Designing Location Based Mobile Games  Higher Education  Environmental Awareness	Ackermann	 Judith Mariani	 Ilaria																																
2015	 Contributo  Atti  convegno	httphandlenet11311973546	Assessment  areas exposed  damage  dangerous goods transportation  Application  Analytic Hierarchy Process method  land covers weighing	Gandini	  Studer	  Borghetti	  Iuliano	  Pastorelli	 																													
2015	 Contributo  Atti  convegno	httphandlenet11311973684	Aesthetic  ethic issues  interaction design	Pillan	 Margherita																																	
2015	 Contributo  Atti  convegno	httphandlenet11311973700	Design Tales Mobile Technologies Supporting Informal Learning   Urban Space	Ceconello	  Spallazzo	 																																
2015	 Contributo  Atti  convegno	httphandlenet11311973702	Play Design Designing games  teach design	Ceconello	  Spagnoli	  Spallazzo	  Tolino	 																														
2015	 Contributo  Atti  convegno	httphandlenet11311973704	Playing Design Mobile Serious Games  Valorize Design Culture   Urban Space	Ceconello	 MAURO ATTILIO Spagnoli	  Spallazzo	 Davide Tolino	 Umberto																														
2015	 Contributo  Atti  convegno	httphandlenet11311973775	Engaging users through dynamic products  promoting water saving   domestic environment	Bergamaschi	  Rampino	  Colombo	 																															
2015	 Contributo  Atti  convegno	httphandlenet11311974578	WHEN DESIGN INNOVATION OUTDOES  ARCHETYPES	Ferraris	 SILVIA DEBORAH Ferraro	 Venere																																
2015	 Contributo  Atti  convegno	httphandlenet11311974580	VISUAL MANUFACTURING EFFECTS  MANUFACTURING   VISUAL  FORMAL GENERATION  ARTEFACTS	Ferraris	 SILVIA DEBORAH																																	
2015	 Contributo  Atti  convegno	httphandlenet11311974645	Leonardo   ncipi invisibili allegorie figurate  fortezze come allegorie politiche  Ludovico  Moro  Cesare Borgia	Pietro Marani																																		
2015	 Contributo  Atti  convegno	httphandlenet11311974752	designed signals Designing  open wayfinding system	GUIDA	 FRANCESCO ERMANNO TONELLI	 ALESSANDRO																																
2015	 Contributo  Atti  convegno	httphandlenet11311975482	Design Identity  Sensemaking  Fertile Approach  Small Territories	Parente	 Marina Medeiros	 Vivianne Nardi  Assis																																
2015	 Contributo  Atti  convegno	httphandlenet11311978071	ARTISANAL ADVANCED DESIGN Advanced Manufacturing Processes   Tool  Revitalize Oeculiar Italian CraftProductions	Vacca	 Federica																																	
2015	 Contributo  Atti  convegno	httphandlenet11311978162	Observation Reflection  Synthesis Pedagogical Tools  Teaching Visual Merchandising Online	Stewart	  Colombi	 																																
2015	 Contributo  Atti  convegno	httphandlenet11311978163	CultureDriven MetaProducts Prototypes  Support  CultureIntensive Design Practice	Colombi	  Lupo	 																																
2015	 Contributo  Atti  convegno	httphandlenet11311979064	 novel experience  color teaching Master  Color Design  Technology	Rizzi	  Rossi	  Bonanomi	  Siniscalco 																															
2015	 Contributo  Atti  convegno	httphandlenet11311979069	Coloured LEDs Lighting  Food Growing	Casciani	  Musante	  Rossi	 																															
2015	 Contributo  Atti  convegno	httphandlenet11311979070	Teaching color  Master  Color Design  Technology	Rossi	  Siniscalco	  Rizzi	  Bonanomi	 																														
2015	 Contributo  Atti  convegno	httphandlenet11311979072	Representation  chromatic distribution  lighting system	Rossi	 Maurizio Musante	 Fulvio																																
2015	 Contributo  Atti  convegno	httphandlenet11311979234	Nurturing Culture Nurturing Design	 Lupo  Teasley  Volonte																																		
2015	 Contributo  Atti  convegno	httphandlenet11311979532	Dynamism  imperfection  emerging materials experiences  case study	Rognoli	 Valentina																																	
2015	 Contributo  Atti  convegno	httphandlenet11311979576	Environmental Design	Bisson	 Mario																																	
2015	 Contributo  Atti  convegno	httphandlenet11311979596	Materials Time  Emotion  materials change  time	Eline Nobels Francesca Ostuzzi Marinella Levi Valentina Rognoli  Detand																																		
2015	 Contributo  Atti  convegno	httphandlenet11311980218	Women   Media Communication Design Research  Experimentations	Bucchetti	 Valeria Caratti	 Elena Reina	 Marta Isabella Tolino	 Umberto																														
2015	 Contributo  Atti  convegno	httphandlenet11311982900	From LEARNING  DOING  CREATING  SHARING experiences  people  fundamental connective tissue  enhancing creativity   project format   workshop	 Rosa	 Annalinda																																	
2015	 Contributo  Atti  convegno	httphandlenet11311983123	LACE  Design Process  Build  Temporary Square  Chiaravalle Suburb	Rebaglio	 Agnese Brenna	 Luigi  Rosa	 Annalinda																															
2015	 Contributo  Atti  convegno	httphandlenet11311983131	Exploring  social dimension  urban lighting	Casciani	  Rossi	 																																
2015	 Contributo  Atti  convegno	httphandlenet11311983714	Performance   paradigm  designing museum experience	Trocchianesi Raffaella Borsotti Marco																																		
2015	 Contributo  Atti  convegno	httphandlenet11311983871	DesignRito cultura  progetto  valore simbolico  colore negli artefatti rituali	Pils	 Giulia Trocchianesi	 Raffaella																																
2015	 Contributo  Atti  convegno	httphandlenet11311984313	Design boundaries  Brazilian SMEs  case study   furniture sector	Fonseca Braga	 Mariana Manhago	 Marcelo Souza Ingaramo	 Matteo Oreste																															
2015	 Contributo  Atti  convegno	httphandlenet11311984314	 product service system design  fitness activities based  active ageing  proposal  fitness  xishan style council	Liang	  Fassi	 Davide																																
2015	 Contributo  Atti  convegno	httphandlenet11311984465	Rethinking about Fashion Design Towards Cultural Sustainability	Decker	 Lucie 	 																																
2015	 Contributo  Atti  convegno	httphandlenet11311986189	Communication Design  Refugee Women  Research Project  Sammartini Polyfunctional Centre  Milan	Caratti	 Elena Ciravegna	 Erik Rebaglio	 Agnese Tolino	 Umberto																														
2015	 Contributo  Atti  convegno	httphandlenet11311986197	Sustainable Quality From Space Stations  Everyday Contexts  Earth	Schlacht	 Irene  Ceppi	 Giulio Nazir	 Salman																															
2015	 Contributo  Atti  convegno	httphandlenet11311986338	ENHANCING   PSYCHOLOGICAL  AESTHETIC ISSUES	Anna	 Anzani Angela	 Baila																																
2015	 Contributo  Atti  convegno	httphandlenet11311986348	Memory  Discovery  contribution  Humanities   enhancement  built historical heritage	Caramel	 Claudia Anzani	 Anna Baila	 Angela Guarisco	 Margherita																														
2015	 Contributo  Atti  convegno	httphandlenet11311986551	COMMUNICATION     TERRITORY  CARTOGRAPHIC  INTERFACES   SPATIAL  TURN   COMMUNICATION  DESIGN	Baule	 Giovanni																																	
2015	 Contributo  Atti  convegno	httphandlenet11311986658	 Approach  Look into Strategic Design  Luxury Brandsfrom Pedagogy  Multiliteracites  Design  BrandConsumer Communication		  Zurlo	 Francesco																																
2015	 Contributo  Atti  convegno	httphandlenet11311986702	 production system model  MiniFactories  last mile production approach	Zanetti	 Cristiano Seregni	 Marco Bianchini	 Massimo Taisch	 Marco																														
2015	 Contributo  Atti  convegno	httphandlenet11311987070	Experience Immersion  Perception Communication Design  Urban  Natural Environments	Calabi	 Daniela Anna Chiodo	 Elisa Scuri	 Sabrina																															
2015	 Contributo  Atti  convegno	httphandlenet11311987078	Communication Design  landscape identity	Daniela Calabi																																		
2015	 Contributo  Atti  convegno	httphandlenet11311987123	Communication Design  Urban Environment creative Projects  Explore  Cultures   Places	Calabi	 DANIELA ANNA																																	
2015	 Contributo  Atti  convegno	httphandlenet11311989296	  again   community centered design activity  upcycling	Fassi	 Davide Wenqing	 Yang																																
2015	 Contributo  Atti  convegno	httphandlenet11311989301	Envisioning Collective Wishes with Local Community  Social Innovation towards Village Regeneration  Inner Mongolia	ChuengNainby	 Priscilla Fassi	 Davide Xiao	 Dongjuan																															
2015	 Contributo  Atti  convegno	httphandlenet11311989647	 house  home temporary hospitable crosscultural	Giunta	 ELENA ENRICA Rebaglio	 Agnese																																
2015	 Contributo  Atti  convegno	httphandlenet11311990590	MOON HABITAT MODULE  WAYS  LIVING  EXTREME SPACES	Cenini	 Elisa Desole	 Elisa Facchinetti	 Massimo Schlacht	 Irene  Foing	 Bernard Artusi	 Matteo Ceppi	 Giulio 																											
2015	 Contributo  Atti  convegno	httphandlenet11311990591	EXOHAB1 DEVELOPMENT SPININOUT FROM SPACE HABITAT  DISASTER   MANAGEMENT FACILITY	Schlacht	 Irene  Foing	 Bernard Ceppi	 Giulio																															
2015	 Contributo  Atti  convegno	httphandlenet11311994219	 role  design   development  interactive product service system   next generation  asthma treatment  SOFI case	Arquilla	 Venanzio Fiorinelli	 Giulia																																
2015	 Contributo  Atti  convegno	httphandlenet11311995072	Wearable lifestyle tracking devices  they useful  teenagers	Carrion	 Carme Caon	 Maurizio Carrino	 Stefano Moliner	 Liliana Arroyo Lang	 Alexandra Atkinson	 Sarah Mazzola	 Marco Perego	 Paolo Standoli	 Carlo Emilio Castell	 Conxa Espallargues	 Mireia																							
2015	 Contributo  Atti  convegno	httphandlenet11311999586	Virtual Reality  Assessing  Supportive Environment that Promotes Navigability  Persons with Alzheimer's disease	 	 Rosalam Gramegna	 SILVIA MARIA Biamonti	 Alessandro																															
2015	 Abstract  Atti  convegno	httphandlenet11311959218	  project   Easy Paths	Biagi	  Comai	  Mangiarotti	  Matteucci	  Negretti	  Ugur	  Visconti	 																											
2015	 Abstract  Atti  convegno	httphandlenet11311971977	Synesthetic Food Tools   Design  Audiovisual Artefacts  Alimentos sinestasicos Herramientas para  disea  artefactos audiovisuales	Dina	 Ricco																																	
2015	 Abstract  Atti  convegno	httphandlenet11311971994	Synesthesia  Semantics   Visual communication  Food  encounter  practice   ways  thinking  social benefits	Dina	 Ricco	 Luciana	 Gunetti	 Antonella	 Andriani																													
2015	 Abstract  Atti  convegno	httphandlenet11311972366	Future visions from  1939  different approaches	Ferrara	 Marinella Lecce	 Chiara																																
2015	 Abstract  Atti  convegno	httphandlenet11311972627	Social Media Fiction Designing Stories  Social Media	Venditti	 Simona Ciancia	 Mariana Piredda	 Francesca																															
2015	 Abstract  Atti  convegno	httphandlenet11311977249	Design Identity  Sensemaking  Fertile Approach  Small Territories	Parente	 Marina Medeiros	 Vivianne Nardi  Assis																																
2015		httphandlenet11311979597	CookDesign Auto production  wool filled starch based composite Case study NeWool	Rognoli	 Valentina																																	
2015	 Abstract  Atti  convegno	httphandlenet11311984682	Global Tools   Archeology   Future	Silvia Franceschini																																		
2015	 Abstract  Atti  convegno	httphandlenet11311986661	Discourse analysis approach  lead cultural consumption  luxury fashion brands  ways  communicate  heritage  fashion houses with global consumers		   Zurlo	 Francesco																																
2015	 Abstract  Atti  convegno	httphandlenet11311994298	Design  enabler  anticipatory systems  MakeinProgress case study	Arquilla	 Venanzio Barbieri	 Annalisa																																
2016	 Contributo  Atti  convegno	httphandlenet113111000150	Design tools  build sustainable business models  social innovation	Komatsu	  Deserti	  Rizzo	  Celi	 																														
