dc.publisher.place;dc.type.referee;dc.publisher.country;item.collection;item.openaireRights;dc.subject.keywordsita;dc.language.iso;dc.subject.keywords;dc.identifier.uri;dc.date.issued;dc.type.full;dc.relation.ispartofbook;item.journal.title;dc.title;dc.relation.medium;dc.description.numberofauthors;dc.publisher.name;dc.authority.people;dc.type.circulation;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;ita;-0;http://hdl.handle.net/11311/1005163;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;RIVISTA ITALIANA DI FILOSOFIA DEL LINGUAGGIO;Semiotica del progetto: la via pragmatista;ELETTRONICO;1;-0;ZINGALE, SALVATORE;-0;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;-0;http://hdl.handle.net/11311/1005189;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;ELECTRONIC NOTES IN DISCRETE MATHEMATICS;A new Mathematical Programming Model for the Green Vehicle Routing Problem;-0;4;-0;"BRUGLIERI, MAURIZIO;Mancini, Simona;Pezzella, Ferdinando;Pisacane, Ornella";-0;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;-0;http://hdl.handle.net/11311/1005663;2015;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;PROCEDIA MANUFACTURING;Ultrasound System Typologies, User Interfaces and Probes Design: A Review;-0;5;-0;"ANDREONI, GIUSEPPE;MAZZOLA, MARCO;Matteoli, S;D’Onofrio, S;Forzoni, L.";-0;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;por;Cultura de projeto; comunicação; ensino e design; cross fertilization; inovação.;http://hdl.handle.net/11311/1005736;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;OPCIÓN;Projetando para a inovação: A cross fertilization como método;-0;2;-0;"Souza, Patrícia Patrícia de Mello;CONTI, GIOVANNI MARIA";-0;;;;;;;;;;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;-0;http://hdl.handle.net/11311/1006022;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;CONJUNCTIONS;Fun by design: The game design activity and its iterative process as (playful) learning practices;ELETTRONICO;2;-0;"MARIANI, ILARIA;J. Ackermann";-0;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;wearable systems; textile sensors; ergonomics; human factors; sensorized clothes; smart textiles; sensor design;http://hdl.handle.net/11311/1006165;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;SENSORS;Defining Requirements and Related Methods for Designing Sensorized Garments;-0;3;-0;"ANDREONI, GIUSEPPE;STANDOLI, CARLO EMILIO;PEREGO, PAOLO";-0;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;-0;http://hdl.handle.net/11311/1006915;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;INTERNATIONAL JOURNAL OF GAME-BASED LEARNING;Negative Experiences as Learning Trigger: A Play Experience Empirical Research on a Game for Social Change Case Study;ELETTRONICO;2;-0;"MARIANI, ILARIA;Gandolfi, Enrico";-0;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;por;design, moda, arquitetura, cross fertilization, inovação;http://hdl.handle.net/11311/1006959;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;Congresso Brasileiro de Pesquisa e Desinvolvimento em design;CROSS FERTILIZATION: UM DIRECIONAMENTO PARA A INOVAÇÃO;ELETTRONICO;2;-0;"Souza, Patrícia de Mello;CONTI, GIOVANNI MARIA";-0;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;-0;http://hdl.handle.net/11311/1007532;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;TOUCHPOINT;Design Doing: The service designer role in a society where everybody designs;-0;1;-0;ROSSI, MARTINA;-0;;;;;;;;;;;;;;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;ita;-0;http://hdl.handle.net/11311/1008146;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;MD JOURNAL;Superfici Imperfette;-0;2;-0;"PARISI, STEFANO;ROGNOLI, VALENTINA";-0;;;;;;;;;;;;;;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;ita;-0;http://hdl.handle.net/11311/1008150;2017;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;MD JOURNAL;ICS_Materials: materiali interattivi, connessi e smart;ELETTRONICO;3;-0;"ROGNOLI, VALENTINA;FERRARA, MARIA RITA;ARQUILLA, VENANZIO";-0;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;OMA, Koolhaas, Venezia, Fondaco dei Tedeschi;eng spa;;-0;http://hdl.handle.net/11311/1008379;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;ARQUITECTURA VIVA;Comercio con la historia. OMA, Fondaco dei Tedeschi in Venice;STAMPA;1;-0;IRACE, FULVIO;-0;;;;;;;;;;;;;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;-0;http://hdl.handle.net/11311/1008383;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;INTERNATIONAL JOURNAL OF ARTS AND TECHNOLOGY;Telling without talking: dynamic products’ potential for non-verbal communication;ELETTRONICO;2;-0;"COLOMBO, SARA;RAMPINO, LUCIA ROSA ELENA";-0;;;;;;;;;;;;;;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;-0;http://hdl.handle.net/11311/1008679;2017;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;THE BURLINGTON MAGAZINE;Milan 1630: the festivities to celebrate the birth of Prince Balthasar of Spain and an invention by Leonardo da Vinci;-0;2;-0;"MARANI, PIETRO;BORA, Giulio";-0;;;;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;-0;http://hdl.handle.net/11311/1009997;2017;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;INTERNATIONAL JOURNAL OF RAPID MANUFACTURING;Commons people: additive manufacturing enabled collaborative commons production (by design);-0;2;-0;"Smith, Paul;MORTATI, MARZIA";-0;;;;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;chi;-0;http://hdl.handle.net/11311/1010141;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;ZHUANGSHI;Updating the Tradition: Italian Design in the First Decade of the New Century;STAMPA;2;-0;"GUERRINI, LUCA;GEROSA, GIULIA MARIA";-0;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;-0;http://hdl.handle.net/11311/1012448;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;PAD;CampUS: co-designing spaces for urban agriculture with local communities;ELETTRONICO;3;-0;"FASSI, DAVIDE;GALLUZZO, LAURA;DE ROSA, ANNALINDA";-0;;;;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng ita;;design della comunicazione, grafica, branding, narrazione, informazione digitale;http://hdl.handle.net/11311/1012519;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;DIID. DISEGNO INDUSTRIALE INDUSTRIAL DESIGN;Comunicare il viaggio: dalla guida al blog, dalla propaganda al branding;STAMPA;1;-0;GUIDA, FRANCESCO ERMANNO;-0;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;ita;-0;http://hdl.handle.net/11311/1013175;2017;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;LUCE E DESIGN;Le aziende e la ricerca. Quando università e impresa fanno squadra;-0;2;-0;"PALMIERI, STEFANIA;Amandolese, Daniela";-0;;;;;;;;;;;;;;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;materials experience; sustainability; aesthetic pleasure; sensorial experience; unity-in-variety;http://hdl.handle.net/11311/1013976;2017;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;SUSTAINABILITY;Revived Beauty: Research into Aesthetic Appreciation of Materials to Valorise Materials from Waste;ELETTRONICO;3;-0;"Sauerwein, Marita;Karana, Elvin;ROGNOLI, VALENTINA";-0;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;ita;-0;http://hdl.handle.net/11311/1014373;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;L'IMPRESA;Blue economy dentro casa;STAMPA;1;-0;CEPPI, GIULIO;-0;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;ita;-0;http://hdl.handle.net/11311/1014375;2017;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;L'IMPRESA;"Il "" diritto al piacere"", una sfida per il paese";-0;1;-0;CEPPI, GIULIO;-0;;;;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;-0;http://hdl.handle.net/11311/1016034;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;IDEA;E-urbanism: strategies to develop a new urban interior design;-0;3;-0;"CRIPPA, DAVIDE;DI PRETE, BARBARA;LONARDO, EMILIO";-0;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;-0;http://hdl.handle.net/11311/1017175;2017;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;PAD;Mapping the territory for cultural development. The methodological assumptions of Artificio Project;ELETTRONICO;1;-0;GADDI, ROSSANA;-0;;;;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng ita;;-0;http://hdl.handle.net/11311/1017614;2017;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;FLASH ART;FLASH ART;STAMPA;1;-0;CAPPELLIERI, ALBA;-0;;;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng ita;;DESIGN FOR CHILDREN, triennale di milano, alba cappellieri, politecnico di milano, italian design,;http://hdl.handle.net/11311/1017621;2017;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;IL GIORNALE DELL'ARCHITETTURA;DESIGN FOR CHILDREN;ELETTRONICO;1;-0;CAPPELLIERI, ALBA;-0;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;CMF design, materiali, design primario, Trini Castelli;eng ita;;-0;http://hdl.handle.net/11311/1017974;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;ABITARE;Clino Trini Castelli, La pratica della lungimiranza - The Practice of Foresight;STAMPA;1;-0;BOSONI, GIAMPIERO;-0;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng ita;;-0;http://hdl.handle.net/11311/1017976;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;DOMUS;Le mutazioni del contract - The Changing Contract Sector;STAMPA;1;-0;BOSONI, GIAMPIERO;-0;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng jpn;;-0;http://hdl.handle.net/11311/1017978;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;APPROACH;Aoi's Planned Hope;STAMPA;1;-0;BOSONI, GIAMPIERO;-0;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;chi;Italian design, modo italiano;http://hdl.handle.net/11311/1017979;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;ZHUANGSHI;"The Substance of Italian Design: Reflecting on the Essential Characters of the ""Modo"" of Design in Italy";STAMPA;2;-0;"BOSONI, GIAMPIERO;Lecce C.";-0;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng ita;;fre;dut;design italiano, maestri,;http://hdl.handle.net/11311/1018137;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;CARTADITALIA;"L'âge d'or dei ""maestri"" del design italiano, The âge d'or of the ""masters"" of italian design, L'âge d'or des ""maîtres"" du design italien, De 'gouden eeuw' van de 'meesters' van het Italliaanse design";STAMPA;1;-0;BOSONI, GIAMPIERO;-0;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng ita;;Design, Innovazione sociale, Prodotto, Emergenza,;http://hdl.handle.net/11311/1018221;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;DIID. DISEGNO INDUSTRIALE INDUSTRIAL DESIGN;Nuvole in viaggio;STAMPA;1;-0;BIAMONTI, ALESSANDRO;-0;;;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;-0;http://hdl.handle.net/11311/1018222;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;CULTURA E SCIENZE DEL COLORE / COLOR CULTURE AND SCIENCE;Domestic Horticultural – Centric Lighting Design;ELETTRONICO;3;-0;"CASCIANI, DARIA;MUSANTE, FULVIO;ROSSI, MAURIZIO";-0;;;;;;;;;;;;;;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;-0;http://hdl.handle.net/11311/1018223;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;JOURNAL OF THE INTERNATIONAL COLOUR ASSOCIATION;The colour consultant training for the future: a holistic view of design and technologies;ELETTRONICO;4;-0;"ROSSI, MAURIZIO;Rizzi, Alessandro;Bonanomi, Cristian;SINISCALCO, ANDREA";-0;;;;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;-0;http://hdl.handle.net/11311/1018224;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;LUCE;The evaluation of flicker in LED lighting systems - La valutazione del flicker nei sistemi di illuminazione a LED;STAMPA;2;-0;"MUSANTE, FULVIO;ROSSI, MAURIZIO";-0;;;;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;-0;http://hdl.handle.net/11311/1018545;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;PAD;Envision the nocturnal territory: Urban lighting as a design strategy for the recovery of places;ELETTRONICO;2;-0;"GENTILI, HELENA;CASCIANI, DARIA";-0;;;;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;;-0;http://hdl.handle.net/11311/1018547;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;LUCE;GENIUS LUCI - Il primo museo di illuminazione urbana all’EUR di Roma;STAMPA;3;-0;"D'Alesio, Carlo;GENTILI, HELENA;CASCIANI, DARIA";-0;;;;;;;;;;;;;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;-0;http://hdl.handle.net/11311/1018685;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;PAD;Milano, Zona Tortona. Understanding a place branding strategy built upon history, visions and design.;ELETTRONICO;2;-0;"SEDINI, CARLA;FOIS, LUCA";-0;;;;;;;;;;;;;;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;-0;http://hdl.handle.net/11311/1018730;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;PAD;Editoriale #13. Which Design for which Territories?;ELETTRONICO;2;-0;"PARENTE, MARINA;SEDINI, CARLA";-0;;;;;;;;;;;;;;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;-0;http://hdl.handle.net/11311/1018732;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;PAD;Design for Territories as reflective practice;ELETTRONICO;1;-0;PARENTE, MARINA;-0;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;-0;http://hdl.handle.net/11311/1018785;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;STRATEGIC DESIGN RESEARCH JOURNAL;Policy constellations as ecosystems of design actions: Exploring three cases of social innovation policies in Italy;ELETTRONICO;2;-0;"SELLONI, DANIELA;MANZINI, EZIO";-0;;;;;;;;;;;;;;
-0;Sì, ma tipo non specificato;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;Design degli Interni, Abitare, Società;ita;-0;http://hdl.handle.net/11311/1018916;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;IL CORRIERE DELLA SERA;"Crolla un ""muro"". In soggiorno una società fluida";STAMPA;1;-0;GUERRINI, LUCA;-0;;;;;;;;;;;;;;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;-0;http://hdl.handle.net/11311/1019018;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;OPEN LIBRARY OF HUMANITIES;Opening the Black Box of Scholarly Communication Funding: A Public Data Infrastructure for Financial Flows in Academic Publishing;ELETTRONICO;3;-0;"Lawson, Stuart;Gray, Jonathan;MAURI, MICHELE";-0;;;;;;;;;;;;;;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;Design della comunicazione, oggetti, superficie, grafica, narrazione;ita;-0;http://hdl.handle.net/11311/1019026;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;MD JOURNAL;Abiti grafici. Scritture di superficie e segni di identità;ELETTRONICO;1;-0;BUCCHETTI, VALERIA LUISA;-0;;;;;;;;;;;;;;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;none;-0;eng;-0;http://hdl.handle.net/11311/1019031;2017;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE;Digging Wikipedia: The online encyclopedia as a digital cultural heritage gateway and site;ELETTRONICO;6;-0;"Pentzold, Christian;Weltevrede, Esther;MAURI, MICHELE;Laniado, David;Kaltenbrunner, Andreas;Borra, Erik";-0;;;;;;;;;;;;;;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;Design dell’informazione, Dati generati da dispositivi mobili, Mappatura dei comportamenti, Strumenti visuali, Scoperta di pattern.;ita;-0;http://hdl.handle.net/11311/1019041;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;MD JOURNAL;Osservare la città connessa - Strumenti visuali per la mappatura di dinamiche quotidiane;ELETTRONICO;1;-0;PROFETA, GIOVANNI;-0;;;;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;por;Design. Gestão. Design thinking. Design estratégico;http://hdl.handle.net/11311/1019059;2015;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;E-TECH;O DESIGN PARA A GESTÃO. A GESTÃO PARA O DESIGN;STAMPA;1;-0;CAUTELA, CABIRIO;-0;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng ita;;Hotel, interior design, contract design, ospitalità;http://hdl.handle.net/11311/1019070;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;DOMUS;Design dell'Ospitalità;STAMPA;2;-0;"SCULLICA, FRANCESCO;Elgani, E.";-0;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng ita;;-0;http://hdl.handle.net/11311/1019077;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;DESIGN DIFFUSION NEWS;Neri&HU Projects;STAMPA;2;-0;"SCULLICA, FRANCESCO;Elgani, E.";-0;;;;;;;;;;;;;
-0;-0;-0;-0;none;-0;eng;-0;http://hdl.handle.net/11311/1019086;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;NAUTECH;Design for Mediterranean Emergency;ELETTRONICO;1;-0;BIONDA, ARIANNA;-0;;;;;;;;;;;;;;
-0;-0;-0;-0;none;-0;eng;-0;http://hdl.handle.net/11311/1019089;2015;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;NAUTECH;Building experience to design the future;-0;1;-0;BIONDA, ARIANNA;-0;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;none;-0;eng;-0;http://hdl.handle.net/11311/1019094;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;NAUTECH;1001 vela cup: training and innovation on the water in Venice;-0;1;-0;BIONDA, ARIANNA;-0;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;-0;http://hdl.handle.net/11311/1019098;2015;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;NAUTECH;Lecco Innovation Hub: a research structure that supports innovation;-0;2;-0;"RATTI, ANDREA;BIONDA, ARIANNA";-0;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;ita;-0;http://hdl.handle.net/11311/1019100;2014;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;COMPOSITI MAGAZINE;La ricerca a supporto dell’innovazione;-0;2;-0;"RATTI, ANDREA;BIONDA, ARIANNA";-0;;;;;;;;;;;;;;
