dc.relation.ispartofbook,dc.subject.keywordsita,dc.description.allpeople,dc.type.full,dc.type.circulation,dc.type.referee,dc.date.issued,dc.publisher.country,item.journal.title,item.openaireRights,dc.relation.medium,dc.publisher.name,dc.identifier.uri,dc.publisher.place,dc.subject.keywords,item.collection,dc.description.numberofauthors,dc.language.iso,dc.title
-0,-0,M. C. Tonelli Michail,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1984,-0,OTTAGONO,none,-0,-0,http://hdl.handle.net/11311/663064,-0,-0,-0,1,ita,Dal '700 verso la meccanizzazione
-0,-0,M. C. Tonelli Michail,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1984,-0,OTTAGONO,none,-0,-0,http://hdl.handle.net/11311/663067,-0,-0,-0,1,ita,La stufa
-0,-0,L. GUERRINI,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,-0,1985,-0,EDILIZIA POPOLARE,-0,-0,"Edilizia Popolare Srl:via Cavour 179/A, I 00184 Rome Italy:011 39 06 47865461, Fax: 011 39 06 47865444",http://hdl.handle.net/11311/525607,-0,-0,01.1 Articolo in Rivista,1,ita,Il progetto Dandora a Nairobi
-0,-0,M. C. Tonelli Michail,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1985,-0,OTTAGONO,none,-0,-0,http://hdl.handle.net/11311/663070,-0,-0,-0,1,ita,Gommone Corsair 530 CVR
-0,-0,P. VOLONTE',01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1987,-0,VITA E PENSIERO,none,-0,"Vita e Pensiero Pubblic University:Largo Gemelli 1, I 20123 Milan Italy:011 39 02 72342310, 011 39 2 72342370, EMAIL: redazione.vp@unicatt.it, Fax: 011 39 02 72342974",http://hdl.handle.net/11311/511796,-0,-0,-0,1,-0,Crisi della ragione e pensiero debole
-0,-0,P. VOLONTE',01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1988,-0,RIVISTA DI FILOSOFIA NEO-SCOLASTICA,none,-0,"Vita e Pensiero Pubblic University:Largo Gemelli 1, I 20123 Milan Italy:011 39 02 72342310, 011 39 2 72342370, EMAIL: redazione.vp@unicatt.it, Fax: 011 39 02 72342974",http://hdl.handle.net/11311/511797,-0,-0,-0,1,-0,"La ""crisi della ragione"" come figura dello scetticismo nella filosofia italiana contemporanea"
-0,-0,M. Galbiati,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1988,-0,SEGNOCINEMA,none,-0,-0,http://hdl.handle.net/11311/662630,-0,-0,-0,1,ita,La città e il cinema : il testo urbano e il testo filmico
-0,-0,M. Galbiati,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1988,-0,SEGNOCINEMA,-0,-0,-0,http://hdl.handle.net/11311/662636,-0,-0,01.1 Articolo in Rivista,1,ita,Un fantastico occhio sul mondo : intervista a Omar Calabrese
-0,-0,M. Galbiati,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1988,-0,SEGNOCINEMA,none,-0,-0,http://hdl.handle.net/11311/662637,-0,-0,-0,1,ita,Mille sguardi per una città
-0,-0,M. Galbiati,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1988,-0,SEGNOCINEMA,-0,-0,-0,http://hdl.handle.net/11311/662640,-0,-0,01.1 Articolo in Rivista,1,ita,"Proiezioni urbane : ""vedere"" la città"
-0,-0,M. Galbiati; L. Previ,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1988,-0,SEGNOCINEMA,none,-0,-0,http://hdl.handle.net/11311/662644,-0,-0,-0,2,ita,Vere costruzioni dell'animo : da un'intervista a Bernardo Bertolucci
-0,-0,L. GUERRINI; VENTURA N,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,-0,1989,-0,T&T TRASPORTI E TRAZIONE,-0,-0,"Masson SPA:via Flli Bressan 2, I 20126 Milan Italy:011 39 02 27074286, EMAIL: aboonamenti@masson.it, INTERNET: http://www.masson.it, Fax: 011 39 02 27074210",http://hdl.handle.net/11311/525608,-0,-0,01.1 Articolo in Rivista,2,ita,La città nelle infrastrutture
-0,-0,PINI D; L. GUERRINI,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,-0,1989,-0,RASSEGNA,-0,-0,"Editrice Compositori:Via Stalingrado 97/2, I 40128 Bologna Italy:011 39 051 3540111, EMAIL: 1865@compositori.it, INTERNET: http://www.compositori.it, Fax: 011 39 051 327877",http://hdl.handle.net/11311/525609,-0,-0,01.1 Articolo in Rivista,2,ita,la città in movimento
-0,-0,L. GUERRINI; IGNACCOLO M,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,-0,1989,-0,RASSEGNA,none,-0,"Editrice Compositori:Via Stalingrado 97/2, I 40128 Bologna Italy:011 39 051 3540111, EMAIL: 1865@compositori.it, INTERNET: http://www.compositori.it, Fax: 011 39 051 327877",http://hdl.handle.net/11311/525610,-0,-0,-0,2,ita,Spostamenti collettivi nella città: la Stadtbahn di Hannover
-0,-0,L. GUERRINI,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,-0,1990,-0,PAESAGGIO URBANO,none,-0,"Maggioli Spa:Casella Postale 290, Div Periodici, I 47900 Rimini Italy:011 39 0541 628275, 011 39 0541 8008460, EMAIL: periodici@maggioli.it, INTERNET: http://www.maggioli.it/editore, Fax: 011 39 0541 622020",http://hdl.handle.net/11311/525611,-0,-0,-0,1,ita,La città delle ferrovie: il rinnovo delle grandi stazioni
-0,-0,L. GUERRINI,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,-0,1990,-0,URBANISTICA,-0,-0,"INU Edizioni Srl:Piazza Farnese 44, I 00186 Rome Italy:011 39 06 68195562, EMAIL: inued@tin.it, INTERNET: http://www.inu.it, Fax: 011 39 06 68214773",http://hdl.handle.net/11311/525612,-0,-0,01.1 Articolo in Rivista,1,ita,Un sistema gomma-ferro-acqua per Venezia
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,Nessuno,1990,-0,HABITAT UFFICIO,-0,-0,-0,http://hdl.handle.net/11311/685066,-0,-0,01.1 Articolo in Rivista,1,ita,La luce come architettura
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,Nessuno,1990,-0,HABITAT UFFICIO,-0,-0,-0,http://hdl.handle.net/11311/685067,-0,-0,01.1 Articolo in Rivista,1,ita,"Ufficio, studio, un po' casa"
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,Nessuno,1990,-0,HABITAT UFFICIO,-0,-0,-0,http://hdl.handle.net/11311/685068,-0,-0,01.1 Articolo in Rivista,1,ita,Ospitalità in banca
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,-0,1990,-0,RIABITA,-0,-0,-0,http://hdl.handle.net/11311/688673,-0,Progettazione di interni,01.1 Articolo in Rivista,1,ita,Interni romani
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,-0,1990,-0,RIABITA,none,-0,-0,http://hdl.handle.net/11311/688674,-0,Progettazione di interni,-0,1,ita,Lo spazio del rigore
-0,-0,P. VOLONTE',01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1991,-0,BOLLETTINO DELLA SOCIETÀ FILOSOFICA ITALIANA,-0,-0,"Società filosofica italiana, Roma",http://hdl.handle.net/11311/511799,-0,-0,01.1 Articolo in Rivista,1,-0,La filosofia di Max Müller
-0,-0,S. ZINGALE,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,-0,1991,-0,IMMEDIATI DINTORNI,-0,-0,"primo editore: P. Lubrina, 1989, Bergamo POI: Moretti & Vitali Editori,  Bergamo",http://hdl.handle.net/11311/517646,-0,-0,01.1 Articolo in Rivista,1,ita,Lampi di profezia. Il presente assoluto dell’avanguardia
-0,-0,L. GUERRINI; IGNACCOLO M,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,-0,1991,-0,T&T TRASPORTI E TRAZIONE,none,-0,"Masson SPA:via Flli Bressan 2, I 20126 Milan Italy:011 39 02 27074286, EMAIL: aboonamenti@masson.it, INTERNET: http://www.masson.it, Fax: 011 39 02 27074210",http://hdl.handle.net/11311/525613,-0,-0,-0,2,ita,"Piani, reti e contesto urbano. La Stadtbahn di Hannover ed il VAL di Lilla a confronto"
-0,-0,S. PIZZOCARO,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,Nessuno,1991,-0,HABITAT UFFICIO,-0,-0,-0,http://hdl.handle.net/11311/529494,-0,Design del prodotto; Sostenibilità dei prodotti industriali,01.1 Articolo in Rivista,1,ita,Verso un'ecologia del prodotto
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1991,-0,VIA. VALUTAZIONE DI IMPATTO AMBIENTALE,none,-0,-0,http://hdl.handle.net/11311/575169,-0,Ciclo di vita dei prodotti industriali; sostenibilità; durabilità dei prodotti,-0,1,ita;eng,Prodotti industriali e valutazione della durata
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,-0,1991,-0,MODO,-0,-0,-0,http://hdl.handle.net/11311/661571,-0,Durabilità dei prodotti industriali,01.1 Articolo in Rivista,1,ita,La lunga vita dei prodotti
-0,-0,M. C. Tonelli Michail,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1991,-0,OP. CIT.,none,-0,-0,http://hdl.handle.net/11311/663072,-0,-0,-0,1,ita,La Rinascente e la cultura del design
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1991,-0,ARCHITEKTUR INNENARCHITEKTUR TECHNISCHER AUSBAU,none,-0,-0,http://hdl.handle.net/11311/685054,-0,-0,-0,1,ger,Das Buro: Erinnerung und Schicksal
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1991,-0,ARCHITEKTUR INNENARCHITEKTUR TECHNISCHER AUSBAU,-0,-0,-0,http://hdl.handle.net/11311/685055,-0,-0,01.1 Articolo in Rivista,1,ger,Okologie und Design
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1991,-0,ARCHITEKTUR INNENARCHITEKTUR TECHNISCHER AUSBAU,none,-0,-0,http://hdl.handle.net/11311/685056,-0,-0,-0,1,ger,Ein Innehof fur Buromobel
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1991,-0,ARCHITEKTUR INNENARCHITEKTUR TECHNISCHER AUSBAU,none,-0,-0,http://hdl.handle.net/11311/685057,-0,-0,-0,1,ger,Design als Architekturdestillat
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1991,-0,ARCHITEKTUR INNENARCHITEKTUR TECHNISCHER AUSBAU,none,-0,-0,http://hdl.handle.net/11311/685058,-0,-0,-0,1,ger,Warm umfangen
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1991,-0,ARCHITEKTUR INNENARCHITEKTUR TECHNISCHER AUSBAU,none,-0,-0,http://hdl.handle.net/11311/685059,-0,-0,-0,1,ger,Blick zuruck in die Zukunft
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1991,-0,ARCHITEKTUR INNENARCHITEKTUR TECHNISCHER AUSBAU,none,-0,-0,http://hdl.handle.net/11311/685061,-0,-0,-0,1,ger,Fur kreative Ingenieur-Leistungen: BMW Fiz
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1991,-0,ARCHITEKTUR INNENARCHITEKTUR TECHNISCHER AUSBAU,none,-0,-0,http://hdl.handle.net/11311/685062,-0,-0,-0,1,ger,Taglicher hauslicher hedonismus
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1991,-0,ARCHITEKTUR INNENARCHITEKTUR TECHNISCHER AUSBAU,none,-0,-0,http://hdl.handle.net/11311/685063,-0,-0,-0,1,ger,Poesie und Technik
-0,-0,P. VOLONTE',01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1992,-0,RIVISTA DI FILOSOFIA NEO-SCOLASTICA,none,-0,"Vita e Pensiero Pubblic University:Largo Gemelli 1, I 20123 Milan Italy:011 39 02 72342310, 011 39 2 72342370, EMAIL: redazione.vp@unicatt.it, Fax: 011 39 02 72342974",http://hdl.handle.net/11311/511800,-0,-0,-0,1,-0,Analogia storica ed esperienza trascendentale
-0,-0,S. PIZZOCARO,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,Nessuno,1992,-0,HABITAT UFFICIO,none,-0,-0,http://hdl.handle.net/11311/529495,-0,Design dei prodotti durevoli,-0,1,ita,Prodotti più durevoli: una strategia ambientale
-0,-0,D. RICCO',01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1992,-0,LINEA GRAFICA,-0,-0,"editore attuale:  Progetto Editrice SRl:CSO Garibaldi 64, I 20121 Milan Italy:011 39 02 653103, EMAIL: lineagrafica@progetto-ed.it, INTERNET: http://www.lineagrafica.progetto-ed.it, Fax: 011 39 02 6575351  primo editore: Ufficio Moderno , Milano",http://hdl.handle.net/11311/531552,-0,-0,01.1 Articolo in Rivista,1,-0,Progettare per i sensi
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1992,-0,VIA. VALUTAZIONE DI IMPATTO AMBIENTALE,-0,-0,-0,http://hdl.handle.net/11311/575170,-0,Strategie di recupero e riciclaggio dei prodotti; Design for disassembling,01.1 Articolo in Rivista,1,eng;ita,Automobile: verso una prassi di recupero totale
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,-0,1992,-0,L'IMPRESA AMBIENTE,-0,-0,-0,http://hdl.handle.net/11311/661576,-0,Design for disassembling,01.1 Articolo in Rivista,1,ita,Progettare per disfare: l'industria chiude il cerchio
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1992,-0,ARCHITEKTUR INNENARCHITEKTUR TECHNISCHER AUSBAU,-0,-0,-0,http://hdl.handle.net/11311/662285,-0,-0,01.1 Articolo in Rivista,1,ger,Neue Klassiker. Frank Lloyd Wrights zeitlose Modernitat
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1992,-0,ARCHITEKTUR INNENARCHITEKTUR TECHNISCHER AUSBAU,none,-0,-0,http://hdl.handle.net/11311/662289,-0,-0,-0,1,ger,Metall Guru
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1992,-0,ARCHITEKTUR INNENARCHITEKTUR TECHNISCHER AUSBAU,none,-0,-0,http://hdl.handle.net/11311/662293,-0,-0,-0,1,ger,Materie und Farbe
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1992,-0,ARCHITEKTUR INNENARCHITEKTUR TECHNISCHER AUSBAU,none,-0,-0,http://hdl.handle.net/11311/662300,-0,-0,-0,1,ger,Raume fur die Korperflege
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1992,-0,ARCHITEKTUR INNENARCHITEKTUR TECHNISCHER AUSBAU,-0,-0,-0,http://hdl.handle.net/11311/662308,-0,-0,01.1 Articolo in Rivista,1,ger,Drei Jahrezehnte Italienisches Design
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1992,-0,ARCHITEKTUR INNENARCHITEKTUR TECHNISCHER AUSBAU,none,-0,-0,http://hdl.handle.net/11311/662310,-0,-0,-0,1,ger,Positives Denken
-0,-0,M. Galbiati,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1992,-0,AREA,-0,-0,-0,http://hdl.handle.net/11311/663549,-0,fotografia; soglia; visione; lettura dello spazio,01.1 Articolo in Rivista,1,ita,Sulla soglia. Immagini del territorio
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1992,-0,ARCHITEKTUR INNENARCHITEKTUR TECHNISCHER AUSBAU,-0,-0,-0,http://hdl.handle.net/11311/684852,-0,-0,01.1 Articolo in Rivista,1,ger,Reichtum und Einfachheit
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1992,-0,ARCHITEKTUR INNENARCHITEKTUR TECHNISCHER AUSBAU,-0,-0,-0,http://hdl.handle.net/11311/684854,-0,-0,01.1 Articolo in Rivista,1,ger,Tradition der Moderne
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1992,-0,ARCHITEKTUR INNENARCHITEKTUR TECHNISCHER AUSBAU,-0,-0,-0,http://hdl.handle.net/11311/685052,-0,-0,01.1 Articolo in Rivista,1,ger,Interno di un interno
-0,-0,GIUGLIANO M.; CERNUSCHI S.; R. MAJA; GIOVANNINI I.; ANDRETTA M.; CERE A.,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,-0,1993,-0,IA. INGEGNERIA AMBIENTALE,none,-0,Milan Italy: Centro de Ingegneria per la Protezione dell Ambiente CIPA,http://hdl.handle.net/11311/523976,-0,-0,01.1 Articolo in Rivista,6,-0,Progetto AMES - Parte I - Il modulo per la valutazione delle emissioni da traffico e della qualità dell'aria
-0,-0,S. PIZZOCARO,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,Nessuno,1993,-0,IMBALLAGGIO,none,-0,"Etas SRL:Via Mecenate 89, 20138 Milan Italy:011 39 2 580841, Fax: 011 39 2 58012592",http://hdl.handle.net/11311/529486,-0,-0,-0,1,-0,Il cerchio si chiude
-0,-0,S. PIZZOCARO,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,Nessuno,1993,-0,IMBALLAGGIO,none,-0,"Etas SRL:Via Mecenate 89, 20138 Milan Italy:011 39 2 580841, Fax: 011 39 2 58012592",http://hdl.handle.net/11311/529487,-0,-0,-0,1,-0,Politiche ambientali del Nord Europa: esperienze a confronto
-0,-0,S. PIZZOCARO,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,Nessuno,1993,-0,HABITAT UFFICIO,none,-0,"Etas SRL:Via Mecenate 89, 20138 Milan Italy:011 39 2 580841, Fax: 011 39 2 58012592",http://hdl.handle.net/11311/529496,-0,-0,-0,1,ita,L'ecologia entra in ufficio
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1993,-0,ARCHITEKTUR INNENARCHITEKTUR TECHNISCHER AUSBAU,-0,-0,-0,http://hdl.handle.net/11311/662283,-0,-0,01.1 Articolo in Rivista,1,ger,Das Ende der Eintagsfliegen
-0,-0,M. Galbiati,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,"Sì, ma tipo non specificato",1993,-0,OTTAGONO,none,-0,-0,http://hdl.handle.net/11311/662771,-0,natura; progetto,-0,1,eng;ita,"progettisti della natura, revensione al libro di manuela Perugia ""La natura progettata"""
-0,-0,M. Galbiati,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1993,-0,OTTAGONO,none,-0,-0,http://hdl.handle.net/11311/662781,-0,soglia; pratiche del progetto; architettura; cultura dell'abitare,-0,1,ita;eng,"L'evento della soglia, recensione al volume di Carlo Sini ""L'incanto del ritmo"""
-0,-0,M. Giugliano; S. Cernuschi; R. Maja; M. Andretta; A. Cere,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,"Sì, ma tipo non specificato",1993,-0,IA. INGEGNERIA AMBIENTALE,none,-0,-0,http://hdl.handle.net/11311/663537,-0,-0,01.1 Articolo in Rivista,5,-0,Progetto AMES - parte I: il modulo per la valutazione delle emissioni da traffico e della qualità dell'aria
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1993,-0,ARCHITEKTUR INNENARCHITEKTUR TECHNISCHER AUSBAU,-0,-0,-0,http://hdl.handle.net/11311/684851,-0,-0,01.1 Articolo in Rivista,1,ger,Denkpause
-0,-0,R. Mangiarotti; D. Bruno,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1993,-0,OTTAGONO,none,STAMPA,-0,http://hdl.handle.net/11311/689936,-0,design; qualità totale,01.1 Articolo in Rivista,2,ita,Qualità Totale e Disegno Industriale
-0,-0,P. VOLONTE',01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1994,-0,ORD OCH BILD,none,-0,"Natverkstan Eknomitjanst:Box 311-20, SE 40032 Gotenborg Sweden:011 46 31 7439905, EMAIL: ekonomitjanst@natverkstan.net, Fax: 011 46 31 7439906",http://hdl.handle.net/11311/511798,-0,-0,-0,1,swe,"""Förnunftets kris"" som figur för skepticismen i den samtida italienska filosofin"
-0,-0,D. D'AMORE; P. MAFFEZZONI; M. PILLAN,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,"Sì, ma tipo non specificato",1994,-0,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I. FUNDAMENTAL THEORY AND APPLICATIONS,none,-0,-0,http://hdl.handle.net/11311/516383,-0,sezele,01.1 Articolo in Rivista,3,eng,A Newton Powell Modiﬁcation Algorithm for Harmonic Balance  Based Circuit Analysis
-0,-0,S. PIZZOCARO,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,"Sì, ma tipo non specificato",1994,-0,TEMES DE DISSENY,info:eu-repo/semantics/closedAccess,-0,-0,http://hdl.handle.net/11311/529481,-0,Teorie evolutive dell'artificiale; Evoluzione degli artefatti,01.1 Articolo in Rivista,1,eng;spa;cat,"Una metafora darwiniana. Objectes, sistems artificials i mutacions technologiques en una perspectiva evolutiva"
-0,-0,S. PIZZOCARO,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,Nessuno,1994,-0,IMBALLAGGIO,none,-0,"Etas SRL:Via Mecenate 89, 20138 Milan Italy:011 39 2 580841, Fax: 011 39 2 58012592",http://hdl.handle.net/11311/529488,-0,-0,-0,1,-0,"Uno sguardo all'Est dell'Europa: usato, anzi riciclato"
-0,-0,S. Pizzocaro,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,internazionale,-0,1994,-0,ARCHITEKTUR INNENARCHITEKTUR TECHNISCHER AUSBAU,-0,-0,-0,http://hdl.handle.net/11311/662278,-0,-0,01.1 Articolo in Rivista,1,ger,Zur guten Form
-0,-0,M. Galbiati,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1994,-0,L'ARCA,none,-0,-0,http://hdl.handle.net/11311/662886,-0,cinema; visione; forrest gump; immaginario,-0,1,ita,Un'architettura della visione: Forrest Gump
