dc.type.full,dc.identifier.uri,dc.date.issued,dc.title,dc.authority.people
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/643731,2012,PARETE MOBILE E SISTEMA CON FUNZIONI DI OTTIMIZZAZIONE DI CONDIZIONI AMBIENTALI,"BRUNO, DAVIDE MARIA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/643732,2012,Movable wall and system with environmental condition optimisation functions,"BRUNO, DAVIDE MARIA;Merra, M.;Paracchini, L.;FUSAR POLI, E.;Giola, F.;Cambiaghi, A."
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/687790,2012,APPARATO PORTATILE PER COTTURA ALLA GRIGLIA,"ANSELMI, LAURA;M. Buffoli;A. Grasselli"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/688626,2012,Dispositivo portatile di allenamento fisico e kit comprendente tale dispositivo,"ANSELMI, LAURA;A. Grasselli;A. Anedda"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/688635,2012,Dispositivo portatile di allenamento fisico e kit comprendente tale dispositivo,"ANSELMI, LAURA;A. Grasselli;A. Anedda"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/918155,2013,Coperta inventa storie,"Valentina Nuccio;CELI, MANUELA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1041805,2014,Sistema indossabile per il monitoraggio delle performance del nuotatore,"G. Andreoni;MOLTANI, LARA ALESSIA LAURA;P. Perego;LAVEZZARI, RICCARDO"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1038529,2015,WEARABLE SYSTEM FOR MONITORING A SWIMMER'S PERFORMANCE,ANDREONI GIUSEPPE;LAVEZZARI RICCARDO;PEREGO PAOLO;MOLTANI LARA ALESSIA LAURA
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/930358,2015,Sistema ambientale per la terapia del treno,"BIAMONTI, ALESSANDRO;I. Cilesi;L. Lani"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/930361,2015,Cabina Terapeutica,"BIAMONTI, ALESSANDRO;GRAMEGNA, SILVIA MARIA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/969233,2015,Giunto ad incastro con sfere,"Posada, Miguel Melo;FERRARO, VENERE"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/974606,2015,Set da costruzione per bambini,"Melo Posada, Miguel;FERRARO, VENERE"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1002912,2016,ICE BLOCK GLASS,"MURANO, FRANCESCO"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1006914,2016,Dispositivo educativo interattivo,"Sonia, China;FERRARO, VENERE;Belen, Corradi;Marius, Holter;Kasper, Pietrzykowski"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1007045,2016,GIOCO TATTILE PER NON VEDENTI,"FERRARO, VENERE;Lorenzo Sarghini"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1011853,2017,Dispositivo di navigazione indossabile da una persona,"CHE ME, ROSALAM;BIAMONTI, ALESSANDRO;FERRARO, VENERE;Stepanovic, M."
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1026966,2017,Metodo e dispositivo indossabile per il controllo di inquinanti gassosi,"FERRARO, VENERE"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1028484,2017,"SISTEMA PLURISENSORIALE ADATTATO PER LA PREVENZIONE DI MALATTIE PROFESSIONALI NELL’AMBIENTE
DI LAVORO, E METODO PER L’USO DEL SISTEMA","JANSEN, KASPAR;MOLTANI, ALESSIA;STEPANOVIC, MILA;FERRARO, VENERE;FERRARIS, SILVIA DEBORAH;ANDREONI, GIUSEPPE;CAPPELLIERI, ALBA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1031972,2017,MUtable. Interactive Children’s table,"TOLINO, UMBERTO;Venturelli, Luca"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1045202,2017,Culla per neonati,"BELTRAMI, BENEDETTA;BISSON Mario;ANDREIS Diego;BARNI, GRETA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1052998,2017,Apparato e metodo per illuminare oggetti,F. MURANO;M. CELI
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1056092,2017,APPARECCHIATURA MISCELATRICE E DOSATRICE DI PRODOTTI DETERGENTI,"GENNA, CRISTINA;Palmieri, Stefania;ANDREIS, DIEGO VITTORIO;Barni, Greta"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1059394,2018,"PLURISENSORIAL SYSTEM ADAPTED FOR THE PREVENTION OF PROFESSIONAL DISEASES IN THE WORKING ENVIRONMENT, AND METHOD FOR THE USE OF THE SYSTEM”",Venere Ferraro;Giuseppe Andreoni;Alba Cappellieri;Silvia Ferraris;Kaspar Jansen;Alessia Moltani;Mila Stepanovic
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1059395,2018,WEARABLE DEVICE FOR CONTROLLING GASEOUS POLLUTANTS,Venere Ferraro;Mila Stepanovic
