Unfiltered word count,occurences,percentage
affreschi ,1,0.0018
affreschi ,1,0.0018
,,
,,
,,
,,
,,
,,
africa ,2,0.0036
africa ,2,0.0036
africa ,1,0.0018
,,
,,
,,
,,
agenzia,2,0.0036
agenda ,1,0.0018
agenzia,2,0.0036
agenzia,1,0.0018
agenzia,1,0.0018
agevolata ,1,0.0018
agevolata ,1,0.0018
,3,0.0055
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,2,0.0036
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,3,0.0055
agricoltura,7,0.0127
agricoltura,1,0.0018
agricoltura,4,0.0073
aiap ,3,0.0055
,,
,,
,,
,,
,,
,,
,,
,,
,,
albergo,7,0.0127
albergo,4,0.0073
albergo,3,0.0055
albergo,2,0.0036
albergo,1,0.0018
,,
,,
,,
albini ,12,0.0218
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
alfabeti ,2,0.0036
alfabeti ,1,0.0018
algoritmo ,1,0.0018
algoritmo ,1,0.0018
algoritmo ,3,0.0055
algoritmo ,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
alimentazione ,24,0.0437
alimentazione ,10,0.0182
alimentazione ,1,0.0018
alimentazione ,1,0.0018
alimentazione ,1,0.0018
alimentazione ,1,0.0018
alimentazione ,1,0.0018
alimentazione ,9,0.0164
alimentazione ,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
edificio ,1,0.0018
,1,0.0018
,1,0.0018
epoca ,1,0.0018
epoca ,1,0.0018
errore ,1,0.0018
errore ,1,0.0018
,1,0.0018
,1,0.0018
insegna ,1,0.0018
,1,0.0018
interno ,4,0.0073
interno ,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,3,0.0055
allestimento ,7,0.0127
allestimento ,5,0.0091
allestimento ,1,0.0018
allestimento ,1,0.0018
allestimento ,1,0.0018
allestimento ,3,0.0055
allestimento ,1,0.0018
allestimento ,1,0.0018
,1,0.0018
,5,0.0091
alloggi ,4,0.0073
alloggi ,1,0.0018
alluminio ,2,0.0036
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
alpi ,2,0.0036
alpi ,2,0.0036
alpi ,1,0.0018
,1,0.0018
,2,0.0036
,1,0.0018
,3,0.0055
,4,0.0073
,3,0.0055
,1,0.0018
,2,0.0036
,7,0.0127
,7,0.0127
,1,0.0018
,3,0.0055
,1,0.0018
alumni ,1,0.0018
,4,0.0073
alzheimer ,3,0.0055
,1,0.0018
,1,0.0018
,1,0.0018
ambasciata ,2,0.0036
,1,0.0018
,1,0.0018
ambiente ,45,0.0819
ambiente ,29,0.0528
ambiente ,21,0.0382
ambiente ,10,0.0182
ambiente ,8,0.0146
ambiente ,3,0.0055
ambiente ,2,0.0036
ambiente ,1,0.0018
ambiente ,1,0.0018
ambiente ,1,0.0018
ambiente ,1,0.0018
,5,0.0091
,2,0.0036
,1,0.0018
,2,0.0036
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
americano ,1,0.0018
americano ,1,0.0018
americano ,1,0.0018
,2,0.0036
,1,0.0018
,2,0.0036
amministrazione ,1,0.0018
amministrazione ,1,0.0018
,1,0.0018
,3,0.0055
amore ,5,0.0091
,1,0.0018
,1,0.0018
,2,0.0036
,3,0.0055
,1,0.0018
,2,0.0036
,1,0.0018
amsterdam ,1,0.0018
,1,0.0018
analisi ,35,0.0637
analisi ,6,0.0109
analisi ,1,0.0018
analisi ,1,0.0018
analisi ,3,0.0055
analisi ,1,0.0018
,2,0.0036
,1,0.0018
,1,0.0018
analisi ,2,0.0036
analisi ,1,0.0018
,1,0.0018
anatomia ,1,0.0018
anatomia ,1,0.0018
,2,0.0036
,1,0.0018
,1,0.0018
,4,0.0073
angelo ,6,0.0109
,1,0.0018
,1,0.0018
,1,0.0018
animati ,8,0.0146
animati ,2,0.0036
animati ,2,0.0036
animati ,2,0.0036
animati ,1,0.0018
animati ,1,0.0018
,1,0.0018
,2,0.0036
,5,0.0091
anno ,7,0.0127
,1,0.0018
anno ,1,0.0018
,1,0.0018
,1,0.0018
,2,0.0036
,1,0.0018
,1,0.0018
,1,0.0018
anonimato,1,0.0018
anonimato,1,0.0018
anonimato,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,3,0.0055
,1,0.0018
antiche ,3,0.0055
,2,0.0036
antiche ,1,0.0018
antiche ,1,0.0018
anticipazione ,1,0.0018
anticipazione ,6,0.0109
anticipazione ,5,0.0091
anticorpi ,2,0.0036
antidoti ,1,0.0018
,4,0.0073
,1,0.0018
antropocentrico ,1,0.0018
antropocentrico ,1,0.0018
antropologia ,3,0.0055
antropologia ,1,0.0018
,1,0.0018
,1,0.0018
anzianità,5,0.0091
,1,0.0018
,7,0.0127
,6,0.0109
,4,0.0073
,2,0.0036
,2,0.0036
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,2,0.0036
,2,0.0036
apparecchi ,5,0.0091
apparecchi ,3,0.0055
apparecchi ,2,0.0036
apparecchi ,1,0.0018
,1,0.0018
,3,0.0055
,3,0.0055
,2,0.0036
,2,0.0036
applicazione ,21,0.0382
applicazione ,2,0.0036
applicazione ,2,0.0036
applicazione ,1,0.0018
,1,0.0018
apprendimento ,33,0.0601
apprendimento ,8,0.0146
apprendimento ,5,0.0091
apprendimento ,2,0.0036
apprendimento ,1,0.0018
approccio ,2,0.0036
approccio ,2,0.0036
approccio ,57,0.1037
approccio ,12,0.0218
approfondimenti ,1,0.0018
approfondimenti ,1,0.0018
,4,0.0073
,23,0.0419
,1,0.0018
,1,0.0018
,5,0.0091
,1,0.0018
aptica ,1,0.0018
aptica ,1,0.0018
,2,0.0036
,1,0.0018
,2,0.0036
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
archeologico ,4,0.0073
archeologico ,4,0.0073
archeologico ,1,0.0018
archeologico ,1,0.0018
archeologico ,2,0.0036
archeologico ,1,0.0018
archetipo,2,0.0036
archetipo,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
architettura ,18,0.0328
architettura ,1,0.0018
architettura ,8,0.0146
architettura ,8,0.0146
architettura ,8,0.0146
architettura ,2,0.0036
architettura ,1,0.0018
architettura ,95,0.1729
architettura ,33,0.0601
architettura ,19,0.0346
architettura ,8,0.0146
architettura ,7,0.0127
architettura ,6,0.0109
architettura ,5,0.0091
architettura ,3,0.0055
architettura ,3,0.0055
architettura ,2,0.0036
architettura ,2,0.0036
architettura ,1,0.0018
architettura ,1,0.0018
architettura ,1,0.0018
architettura ,1,0.0018
architettura ,1,0.0018
archivio ,1,0.0018
archivio ,24,0.0437
archivio ,17,0.0309
archivio ,8,0.0146
archivio ,3,0.0055
archivio ,2,0.0036
archivio ,1,0.0018
archivio ,1,0.0018
archivio ,1,0.0018
archetipo,1,0.0018
,1,0.0018
,1,0.0018
,2,0.0036
,1,0.0018
,10,0.0182
,12,0.0218
,1,0.0018
,12,0.0218
,1,0.0018
,4,0.0073
,1,0.0018
,4,0.0073
,1,0.0018
,1,0.0018
,4,0.0073
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,2,0.0036
,1,0.0018
,2,0.0036
,1,0.0018
armonie ,2,0.0036
armonie ,2,0.0036
armonie ,2,0.0036
armonie ,1,0.0018
,1,0.0018
,1,0.0018
arpa ,5,0.0091
architettura ,1,0.0018
,1,0.0018
arredamento ,4,0.0073
arredamento ,1,0.0018
arredamento ,1,0.0018
arredamento ,6,0.0109
arredamento ,2,0.0036
arredamento ,2,0.0036
arredamento ,2,0.0036
arredamento ,1,0.0018
,1,0.0018
,3,0.0055
,1,0.0018
,1,0.0018
,1,0.0018
,2,0.0036
,1,0.0018
,16,0.0291
,1,0.0018
,1,0.0018
arte,83,0.1511
arte,28,0.051
arte,18,0.0328
arte,12,0.0218
arte,5,0.0091
arte,3,0.0055
artigianato ,11,0.02
artigianato ,1,0.0018
artigianato ,1,0.0018
,1,0.0018
,1,0.0018
,3,0.0055
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,2,0.0036
,1,0.0018
artificiali ,3,0.0055
artificiali ,2,0.0036
artificiali ,1,0.0018
artigianato ,11,0.02
artigianato ,5,0.0091
artigianato ,4,0.0073
artigianato ,2,0.0036
artigianato ,2,0.0036
artigianato ,2,0.0036
artigianato ,1,0.0018
artigianato ,1,0.0018
artigianato ,1,0.0018
artigianato ,1,0.0018
artigianato ,1,0.0018
artigianato ,1,0.0018
artigianato ,1,0.0018
artigianato ,1,0.0018
arte,3,0.0055
arte,3,0.0055
arte,1,0.0018
arte,5,0.0091
arte,1,0.0018
arte,1,0.0018
arte,5,0.0091
arte,1,0.0018
artigianato ,1,0.0018
,2,0.0036
arte,1,0.0018
,2,0.0036
,1,0.0018
,1,0.0018
asciugacapelli ,3,0.0055
ascolto,1,0.0018
ascolto,2,0.0036
,2,0.0036
asia ,3,0.0055
asia ,4,0.0073
,2,0.0036
,3,0.0055
,3,0.0055
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
assistenza ,1,0.0018
assistenza ,1,0.0018
assistenza ,3,0.0055
assistenza ,3,0.0055
assistenza ,1,0.0018
assistenza ,3,0.0055
assistenza ,1,0.0018
assistenza ,5,0.0091
associazioni ,3,0.0055
associazioni ,2,0.0036
associazioni ,4,0.0073
associazioni ,3,0.0055
associazioni ,1,0.0018
associazioni ,1,0.0018
,1,0.0018
,1,0.0018
,2,0.0036
,5,0.0091
,1,0.0018
astronautico ,2,0.0036
astronautico ,2,0.0036
astronautico ,2,0.0036
,1,0.0018
,2,0.0036
,5,0.0091
,5,0.0091
,1,0.0018
atlante ,1,0.0018
atlante ,1,0.0018
atlante ,1,0.0018
atlantico ,6,0.0109
atlantico ,1,0.0018
atlantico ,5,0.0091
atlantico ,1,0.0018
atlante ,1,0.0018
atm ,2,0.0036
atmosfera ,1,0.0018
atmosfera ,1,0.0018
atomobili ,1,0.0018
,1,0.0018
,2,0.0036
,2,0.0036
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,3,0.0055
,1,0.0018
,1,0.0018
,1,0.0018
attivismo ,3,0.0055
attivismo ,2,0.0036
attivismo ,1,0.0018
,3,0.0055
,4,0.0073
,1,0.0018
attrattività ,1,0.0018
attrattività ,3,0.0055
attrattività ,2,0.0036
,2,0.0036
,2,0.0036
attrattività ,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
attrezzi ,1,0.0018
,1,0.0018
,1,0.0018
,2,0.0036
,2,0.0036
,1,0.0018
audience ,1,0.0018
audiovisivo ,1,0.0018
audiovisivo ,5,0.0091
audiovisivo ,2,0.0036
audiovisivo ,1,0.0018
auditorium ,2,0.0036
,1,0.0018
,2,0.0036
,1,0.0018
,1,0.0018
,2,0.0036
,1,0.0018
austerità ,1,0.0018
austerità ,1,0.0018
austerità ,1,0.0018
austerità ,1,0.0018
australia,1,0.0018
austria ,1,0.0018
autarchici ,3,0.0055
autarchici ,1,0.0018
autarchici ,1,0.0018
autarchici ,1,0.0018
autarchici ,1,0.0018
,1,0.0018
,3,0.0055
,1,0.0018
,1,0.0018
,1,0.0018
,2,0.0036
autogrill ,1,0.0018
automatizzazione ,3,0.0055
automatizzazione ,2,0.0036
automatizzazione ,1,0.0018
automatizzazione ,1,0.0018
automobilistico ,1,0.0018
automobilistico ,1,0.0018
autonomia ,1,0.0018
autonomia ,1,0.0018
autoproduzione ,1,0.0018
autoproduzione ,6,0.0109
autoproduzione ,2,0.0036
autoproduzione ,2,0.0036
autoproduzione ,1,0.0018
autore ,4,0.0073
autore ,3,0.0055
autore ,1,0.0018
autore ,1,0.0018
,1,0.0018
autostrade ,6,0.0109
autostrade ,1,0.0018
autotrazione ,3,0.0055
autotrazione ,1,0.0018
avanguardie ,1,0.0018
avanguardie ,1,0.0018
avanguardie ,1,0.0018
avanguardie ,1,0.0018
,1,0.0018
,5,0.0091
,3,0.0055
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,3,0.0055
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
azienda ,9,0.0164
azienda ,6,0.0109
azienda ,5,0.0091
azienda ,2,0.0036
,1,0.0018
,5,0.0091
,1,0.0018
,1,0.0018
,1,0.0018
b2b ,1,0.0018
,1,0.0018
baby… ,1,0.0018
,2,0.0036
,1,0.0018
,1,0.0018
,2,0.0036
,1,0.0018
,1,0.0018
balestra ,1,0.0018
balestra ,1,0.0018
,1,0.0018
bambini ,5,0.0091
bambini ,2,0.0036
,1,0.0018
,1,0.0018
banca ,3,0.0055
banca ,1,0.0018
banca ,1,0.0018
banco ,1,0.0018
bandiera ,3,0.0055
bando ,1,0.0018
bangkok ,2,0.0036
banham ,1,0.0018
banlieus ,1,0.0018
baraccopoli ,2,0.0036
,1,0.0018
,1,0.0018
barca ,1,0.0018
barcellona ,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,5,0.0091
,1,0.0018
,4,0.0073
basilica ,1,0.0018
,1,0.0018
,2,0.0036
bastioni ,1,0.0018
bastioni ,1,0.0018
battaglia ,1,0.0018
,2,0.0036
bauhaus ,2,0.0036
,2,0.0036
,7,0.0127
bellezza ,1,0.0018
,1,0.0018
,1,0.0018
comportamento,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
bellezza ,2,0.0036
belgrado ,1,0.0018
bellezza ,4,0.0073
bellezza ,1,0.0018
bellezza ,4,0.0073
bellezza ,12,0.0218
guerra,1,0.0018
bellezza ,1,0.0018
,3,0.0055
,1,0.0018
,2,0.0036
,1,0.0018
,2,0.0036
benefici ,6,0.0109
,2,0.0036
benessere ,15,0.0273
,1,0.0018
,1,0.0018
beni ,55,0.1001
,1,0.0018
,1,0.0018
,1,0.0018
bere,1,0.0018
bergamo ,1,0.0018
bergamo ,4,0.0073
,1,0.0018
berlino ,3,0.0055
bernardini ,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,2,0.0036
bestiario ,1,0.0018
bestiario ,1,0.0018
,6,0.0109
bevande ,1,0.0018
,1,0.0018
,4,0.0073
,1,0.0018
,1,0.0018
bianco ,2,0.0036
,2,0.0036
,2,0.0036
,1,0.0018
biblioteche ,4,0.0073
biblioteche ,1,0.0018
bicchiere ,1,0.0018
bicicletta ,1,0.0018
bicicletta ,1,0.0018
,1,0.0018
,2,0.0036
bike ,1,0.0018
bilancio ,2,0.0036
bim ,1,0.0018
,4,0.0073
,4,0.0073
,1,0.0018
,1,0.0018
,2,0.0036
,1,0.0018
biodesign ,4,0.0073
biodesign ,1,0.0018
biodesign ,1,0.0018
biodesign ,1,0.0018
biodesign ,1,0.0018
biodesign ,5,0.0091
biodesign ,1,0.0018
ecologia,1,0.0018
,1,0.0018
biografia ,4,0.0073
biografia ,2,0.0036
biografia ,1,0.0018
biografia ,1,0.0018
biografia ,1,0.0018
,1,0.0018
,1,0.0018
biologia ,1,0.0018
biologia ,1,0.0018
biologia ,1,0.0018
biologia ,2,0.0036
biomeccanica ,3,0.0055
biomeccanica ,2,0.0036
biomedicina,7,0.0127
biomedicina,2,0.0036
biomedicina,2,0.0036
biomedicina,2,0.0036
biomedicina,1,0.0018
biomedicina,1,0.0018
biomedicina,1,0.0018
biomimesi ,1,0.0018
biosensori ,1,0.0018
bishops ,1,0.0018
,1,0.0018
,1,0.0018
nero,1,0.0018
,1,0.0018
blu ,2,0.0036
blocchi ,1,0.0018
blocchi ,1,0.0018
,2,0.0036
,4,0.0073
blog ,3,0.0055
blu ,1,0.0018
blu ,1,0.0018
bmw ,3,0.0055
tavola,6,0.0109
boardgame ,1,0.0018
,7,0.0127
corpo,2,0.0036
corpo,2,0.0036
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
bolzano ,2,0.0036
bombay ,1,0.0018
bombe ,1,0.0018
bombe ,1,0.0018
,1,0.0018
,2,0.0036
libri,4,0.0073
liri,1,0.0018
,1,0.0018
confini,1,0.0018
confini,1,0.0018
bordo ,1,0.0018
bordo ,1,0.0018
bordo ,5,0.0091
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
bosoni ,3,0.0055
botswana ,1,0.0018
,1,0.0018
bottega ,3,0.0055
bottiglie ,3,0.0055
,2,0.0036
,2,0.0036
bottoni ,2,0.0036
bourg ,1,0.0018
boutique ,1,0.0018
bovisa ,3,0.0055
,1,0.0018
bozza ,1,0.0018
bozze ,1,0.0018
,,
bramante ,1,0.0018
bramantino ,4,0.0073
branding ,24,0.0437
branding ,8,0.0146
,1,0.0018
,2,0.0036
brasile,3,0.0055
brasile,2,0.0036
brasile,2,0.0036
brasile,1,0.0018
brera ,2,0.0036
bretagna ,1,0.0018
,4,0.0073
brevetti ,4,0.0073
brevetti ,2,0.0036
,1,0.0018
bricolage ,1,0.0018
,3,0.0055
,1,0.0018
,2,0.0036
,1,0.0018
brighton ,1,0.0018
,1,0.0018
,1,0.0018
britannico ,1,0.0018
brueghel ,2,0.0036
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
budapest ,1,0.0018
edificio,5,0.0091
costruzione,1,0.0018
buio ,1,0.0018
,3,0.0055
,4,0.0073
,2,0.0036
,4,0.0073
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
business ,15,0.0273
busto ,1,0.0018
busto ,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,2,0.0036
,1,0.0018
,1,0.0018
,1,0.0018
caffè ,5,0.0091
cagliari ,1,0.0018
,3,0.0055
calabria ,5,0.0091
calabria ,5,0.0091
calcestruzzo ,3,0.0055
calcolo ,4,0.0073
calore,1,0.0018
,1,0.0018
calore,2,0.0036
caleidoscopio ,2,0.0036
california ,1,0.0018
,1,0.0018
calligrafia ,1,0.0018
,1,0.0018
,1,0.0018
calzature,1,0.0018
cambiamento ,31,0.0564
cambiamento ,7,0.0127
cambiamento ,1,0.0018
cambiamento ,8,0.0146
cambiamento ,4,0.0073
cambridge ,3,0.0055
camera ,4,0.0073
camera ,1,0.0018
,1,0.0018
camino ,1,0.0018
cammino ,3,0.0055
cammino ,1,0.0018
camouflage ,1,0.0018
campania ,6,0.0109
campania ,1,0.0018
campania ,1,0.0018
campania ,1,0.0018
campania ,1,0.0018
camper ,1,0.0018
campo ,5,0.0091
campionario ,1,0.0018
campo ,20,0.0364
campus ,10,0.0182
,2,0.0036
canada,2,0.0036
canali ,1,0.0018
canali ,1,0.0018
,1,0.0018
,1,0.0018
candidato ,1,0.0018
cannoni ,1,0.0018
canone ,1,0.0018
cantiere ,13,0.0237
cantiere ,1,0.0018
cantoniere ,1,0.0018
caos ,1,0.0018
,2,0.0036
capire ,3,0.0055
capitalismo ,22,0.04
capitalismo ,5,0.0091
capitalismo ,1,0.0018
capitalismo ,1,0.0018
,1,0.0018
,2,0.0036
capolavori ,3,0.0055
cappello ,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
car ,4,0.0073
,1,0.0018
caratteri ,7,0.0127
caratteri ,3,0.0055
,4,0.0073
,2,0.0036
,5,0.0091
,4,0.0073
,1,0.0018
,1,0.0018
,1,0.0018
,4,0.0073
,2,0.0036
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
carriera ,1,0.0018
carriera ,1,0.0018
carsharing ,1,0.0018
carta ,6,0.0109
cartaditalia ,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
cartografie ,2,0.0036
cartografie ,1,0.0018
cartografie ,1,0.0018
,1,0.0018
cartoni ,3,0.0055
cartoni ,1,0.0018
cartoni ,1,0.0018
casa ,53,0.0965
casali ,2,0.0036
cascate ,1,0.0018
cascate ,1,0.0018
case ,25,0.0455
,1,0.0018
,72,0.131
cassetti ,1,0.0018
cassetti ,1,0.0018
cassetti ,1,0.0018
cast ,1,0.0018
castello,7,0.0127
castello,3,0.0055
castello,1,0.0018
castello,1,0.0018
,2,0.0036
,1,0.0018
,3,0.0055
,2,0.0036
,2,0.0036
,1,0.0018
,1,0.0018
catalogazione ,1,0.0018
catalogazione ,1,0.0018
catalogna ,2,0.0036
catalogazione ,6,0.0109
catalogazione ,1,0.0018
,1,0.0018
catalogazione ,3,0.0055
catalogazione ,1,0.0018
catalogazione ,1,0.0018
catene ,1,0.0018
,1,0.0018
cattolica ,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
cavalli ,5,0.0091
cavalli ,1,0.0018
,2,0.0036
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
celebrazione ,2,0.0036
celebrazione ,1,0.0018
,1,0.0018
cellulari ,1,0.0018
cellulose ,1,0.0018
cellulose ,1,0.0018
cellulose ,1,0.0018
celti ,1,0.0018
,1,0.0018
cena ,3,0.0055
cenacolo ,11,0.02
,1,0.0018
censimento ,6,0.0109
censimento ,2,0.0036
,1,0.0018
,1,0.0018
,1,0.0018
,3,0.0055
,5,0.0091
,3,0.0055
,1,0.0018
,1,0.0018
,1,0.0018
,2,0.0036
,19,0.0346
,1,0.0018
,2,0.0036
,1,0.0018
ceramica,5,0.0091
ceramica,3,0.0055
ceramica,1,0.0018
,3,0.0055
,1,0.0018
cerebrale ,1,0.0018
cerimonie ,1,0.0018
cerniera ,1,0.0018
,1,0.0018
,2,0.0036
certificazioni ,5,0.0091
certificazioni ,1,0.0018
certificazioni ,1,0.0018
,2,0.0036
,1,0.0018
cervello ,5,0.0091
,2,0.0036
chagall ,1,0.0018
catene ,1,0.0018
sedie,1,0.0018
campione,1,0.0018
cambiamento ,1,0.0018
cambiamento ,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
cheti ,1,0.0018
chianti ,2,0.0036
,1,0.0018
,1,0.0018
,1,0.0018
chiave ,5,0.0091
chic ,1,0.0018
chicago ,2,0.0036
chiesa,5,0.0091
chiese ,3,0.0055
bambini,3,0.0055
,1,0.0018
chimera ,1,0.0018
cina ,3,0.0055
chip ,1,0.0018
chipperfileld ,3,0.0055
chipperfileld ,1,0.0018
chipperfileld ,1,0.0018
,1,0.0018
chitarra ,1,0.0018
,2,0.0036
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
cromatico,3,0.0055
cronologia,1,0.0018
ciabattino ,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
cibo ,17,0.0309
ciclabili ,1,0.0018
ciclistica ,1,0.0018
,10,0.0182
,1,0.0018
,1,0.0018
,1,0.0018
cielo ,3,0.0055
,2,0.0036
,1,0.0018
,1,0.0018
,1,0.0018
,2,0.0036
,2,0.0036
ciminiera ,1,0.0018
cimitero ,2,0.0036
,1,0.0018
cina ,12,0.0218
cinema ,8,0.0146
cinema ,1,0.0018
cinema ,2,0.0036
cinema ,1,0.0018
cinema ,1,0.0018
cina ,3,0.0055
cina ,1,0.0018
,2,0.0036
,1,0.0018
,3,0.0055
,2,0.0036
,4,0.0073
,1,0.0018
,1,0.0018
cioccolato ,1,0.0018
,2,0.0036
,1,0.0018
,10,0.0182
,1,0.0018
,8,0.0146
,2,0.0036
,4,0.0073
,1,0.0018
,3,0.0055
citazioni ,1,0.0018
citazioni ,1,0.0018
città,1,0.0018
città,5,0.0091
cittadini ,2,0.0036
città,155,0.2821
città,31,0.0564
città,1,0.0018
città,1,0.0018
cittadini ,7,0.0127
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
civile ,7,0.0127
civile ,2,0.0036
civile ,2,0.0036
civile ,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
cliente ,4,0.0073
cliente ,2,0.0036
cliente ,1,0.0018
,7,0.0127
,1,0.0018
cliniche ,3,0.0055
cliniche ,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
clock ,1,0.0018
club ,4,0.0073
,4,0.0073
,1,0.0018
,1,0.0018
,1,0.0018
coccettività ,2,0.0036
coccettività ,1,0.0018
coccettività ,1,0.0018
,1,0.0018
codex ,5,0.0091
codice ,4,0.0073
,1,0.0018
,3,0.0055
