title,author,year,type,keywords,cluster
Convegno internazionale DESIGN PLUS RESEARCH,"PARENTE, MARINA;CRISTALLO V;MORONE A.",2000,04.1 Contributo in Atti di convegno,-,nocluster
DesignPlusResearch,"COSTA, FIAMMETTA CARLA ENRICA",2000,04.1 Contributo in Atti di convegno,-,nocluster
Progetto abitare verde. Riciclare: Tecniche esperienze e prospettive nell'Architettura e nel Design,"COSTA, FIAMMETTA CARLA ENRICA",2000,04.1 Contributo in Atti di convegno,-,nocluster
Atti 4th world congress Aluminium 2000,"BRUNO, DAVIDE MARIA",2000,04.1 Contributo in Atti di convegno,"innovazione, processi produttivi e design",nocluster
Protezione dal rischio di incendio nelle gallerie ferroviarie e stradali,"MAJA, ROBERTO",2000,04.1 Contributo in Atti di convegno,-,nocluster
Design Plus Research,"PIZZOCARO, SILVIA LUISA",2000,04.1 Contributo in Atti di convegno,-,nocluster
International Symposium on the dimension of industrial design research,"MASCHI, SIMONA;PENATI, ANTONELLA VALERIA",2000,04.1 Contributo in Atti di convegno,-,nocluster
"Proceeding of the first  International Conference on Industrial Ecology and Sustainability, D. Bourg, S. Erkman","PIZZOCARO, SILVIA LUISA",2000,04.1 Contributo in Atti di convegno,-,nocluster
Design Plus Research,"DOMINONI, ANNALISA;TRABUCCO, FRANCESCO",2000,04.1 Contributo in Atti di convegno,-,nocluster
"Design Plus Research, (a cura di) S. Pizzocaro, A. Arruda, D. De Moraes","CHIAPPONI, MEDARDO;COSTA, FIAMMETTA CARLA ENRICA",2000,04.1 Contributo in Atti di convegno,-,nocluster
Arte e architettura nello spazio di Lombardia tra le due guerre,"FERABOLI, MARIA TERESA",2000,04.1 Contributo in Atti di convegno,Cremona; storia dell'architettura,nocluster
Mechanika 2001 : Proceedings of the International Conference,"P. Allara;G. Campa;CANINA, MARIA RITA;S. Della;ROVETTA, ALBERTO",2001,04.1 Contributo in Atti di convegno,-,nocluster
9th World Conference on Transport Research,"PONTI, MARCO GUIDO",2001,04.1 Contributo in Atti di convegno,-,nocluster
La scienza e la tecnologia sulla Stazione Spaziale Internazionale (ISS),"DOMINONI, ANNALISA",2001,04.1 Contributo in Atti di convegno,-,nocluster
"World Building Congress, Wellington, New Zealand","OBERTI, ILARIA;PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA",2001,04.1 Contributo in Atti di convegno,-,nocluster
La scienza e la tecnologia sulla Stazione Spaziale Internazionale (ISS),"DOMINONI, ANNALISA",2001,04.1 Contributo in Atti di convegno,-,nocluster
120 Round Table European Conference of Ministers of Transport CEMT/OECD,"PONTI, MARCO GUIDO",2001,04.1 Contributo in Atti di convegno,-,nocluster
"Trans Talk Workshop, EEC","PONTI, MARCO GUIDO",2001,04.1 Contributo in Atti di convegno,-,nocluster
Politiche economiche per il sistema dei trasporti e della logistica,"MALGIERI, PATRIZIA;PONTI, MARCO GUIDO",2001,04.1 Contributo in Atti di convegno,-,nocluster
Affective Human Factors Design Conference,"BERTOLA, PAOLA",2001,04.1 Contributo in Atti di convegno,-,nocluster
"ICAR 2001, International Conference on Advanced Robotics","ROVETTA, ALBERTO;CANINA, MARIA RITA;PAOLO ALLARA;GIOVANNI CAMPA;SERGIO DELLA SANTINA",2001,04.1 Contributo in Atti di convegno,-,nocluster
-,"DOMINONI, ANNALISA",2001,04.1 Contributo in Atti di convegno,-,nocluster
"Convegno Internazionale Progetto Abitare Verde. Riciclare. Tecniche, esperienze e prospettive nell’architettura e nel design","PARENTE, MARINA",2001,04.1 Contributo in Atti di convegno,-,nocluster
"ICAR 2001, 10th International Conference on Advanced Robotics","ROVETTA, ALBERTO;CANINA, MARIA RITA;P. ALLARA;G. CAMPA;S. DELLA SANTINA",2001,04.1 Contributo in Atti di convegno,-,nocluster
XXXII Congress of the Italian Neurological Society,"ROVETTA, ALBERTO;CANINA, MARIA RITA;R. PEGORARO",2001,04.1 Contributo in Atti di convegno,-,nocluster
XI Congresso SITE Società Italiana di Ecologia - Sessione contabilità ambientale,"DE LEO G.;CAPRILE, ELENA;GOBETTI M.;MAJA, ROBERTO;SACCHI M.",2001,04.1 Contributo in Atti di convegno,-,nocluster
Fifth immersive projection technology workshop - Seventh Eurographics Workshop on Virtual Environmen,"CALABI, DANIELA ANNA;CLAUDIO R. BOER;STEFANO MOTTURA;MARCO SACCO;GIAN PAOLO VIGANO'",2001,04.1 Contributo in Atti di convegno,-,nocluster
"9th  InTERNATIONAL SYMPOSIUM on Intelligent Robotic Systems, SIRS'2001","ROVETTA, ALBERTO;CANINA, MARIA RITA;G. CAMPA;S. DELLA SANTINA",2001,04.1 Contributo in Atti di convegno,-,nocluster
"Clima 2000 World Congress, Naples","BAGLIONI, ADRIANA;OBERTI, ILARIA;RATTI, ANDREA;PIARDI, SILVIA ELVIRA MARIA",2001,04.1 Contributo in Atti di convegno,-,nocluster
Conferenza Internazionale sul Turismo sostenibile,"OBERTI, ILARIA;PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA",2001,04.1 Contributo in Atti di convegno,-,nocluster
Adaptive Hypermedia and Adaptive web-based System,"C. Chesi;RIZZO, FRANCESCA",2001,04.1 Contributo in Atti di convegno,-,nocluster
9th International Conference on Human Computer Interaction,"RIZZO, FRANCESCA",2001,04.1 Contributo in Atti di convegno,-,nocluster
Congresso nazionale della Societas Herpetologica Italica,"E. Balletto;B. Barone;CECONELLO, MAURO ATTILIO;A. D’andrea;L. Dell’Anna;S. Di Marco;A. Dominici;C. Giacoma;F. Mari;F. Miglietta;G. Nicolini;S. Piovano;L. Pozzi;M. Solinas",2001,04.1 Contributo in Atti di convegno,-,nocluster
"Atti del Convegno ""La liberalizzazione dei servizi di handling aeroportuale""","PONTI, MARCO GUIDO",2002,04.1 Contributo in Atti di convegno,-,nocluster
1st Space Architecture Symposium (SAS 2002),"DOMINONI, ANNALISA",2002,04.1 Contributo in Atti di convegno,design education; design practice; human factors; space architecture; space design; strategic design,nocluster
The new technologies to protect life and occupation,"FIGIANI, MAURIZIO;MACCHIA, CESIRA ASSUNTA;RAVETTA, FRANCESCA",2002,04.1 Contributo in Atti di convegno,-,nocluster
DesignNet. Knowledge e Information Management per il Design,"ARQUILLA, VENANZIO",2002,04.1 Contributo in Atti di convegno,-,nocluster
Creative Digital Culture. The Eighth International Conference on Virtual Systems and MultiMedia,"BOGHETICH, GIANGIUSEPPE MIDA;CIUCCARELLI, PAOLO;INNOCENTI, PERLA;VIDARI, FEDERICO",2002,04.1 Contributo in Atti di convegno,"design knowledge, visual interface,",nocluster
1st Space Architecture Symposium (SAS),"DOMINONI, ANNALISA",2002,04.1 Contributo in Atti di convegno,design; comfort; human factors; human science; microgravity; space design; space research programs,nocluster
DesignNet - Knowledge e Informatio Management per il Design,"SIMONELLI, GIULIANO",2002,04.1 Contributo in Atti di convegno,-,nocluster
11th International Forum on Design Management Research & Education,"INGARAMO, MATTEO ORESTE",2002,04.1 Contributo in Atti di convegno,-,nocluster
The new technologies to protect life and occupation,"FIGIANI, MAURIZIO;MACCHIA, CESIRA ASSUNTA;RAVETTA, FRANCESCA",2002,04.1 Contributo in Atti di convegno,-,nocluster
Ricerche e innovazioni nell'industria alimentare. 5° Congresso Italiano di Scienza e Tecnologia degli Alimenti,"MERONI, ANNA",2002,04.1 Contributo in Atti di convegno,-,nocluster
Primo Convegno Italiano Eurographics,"CECONELLO, MAURO ATTILIO",2002,04.1 Contributo in Atti di convegno,-,nocluster
La modernizzazione del Paese: infrastrutture ed ambiente,"PONTI, MARCO GUIDO",2002,04.1 Contributo in Atti di convegno,-,nocluster
L’ergonomia nella normativa,"COSTA, FIAMMETTA CARLA ENRICA",2002,04.1 Contributo in Atti di convegno,-,nocluster
The new technologies to protect life and occupation,"FIGIANI, MAURIZIO;MACCHIA, CESIRA ASSUNTA;RAVETTA, FRANCESCA",2002,04.1 Contributo in Atti di convegno,-,nocluster
Convegno nazionale VGR 2002 “Valutazione e gestione del rischio negli Insediamenti Civili  e Industriali,"STUDER, LUCA PASINO;MARCHIONNI, GIOVANNA;MAJA, ROBERTO;VESCIA G.",2002,04.1 Contributo in Atti di convegno,-,nocluster
DC-2002: Metadata for e-Communities: Supporting Diversity and Convergence,"BOGHETICH, GIANGIUSEPPE MIDA;CIUCCARELLI, PAOLO;INNOCENTI, PERLA;VIDARI, FEDERICO",2002,04.1 Contributo in Atti di convegno,design knowledge; metadata; interface design; dublin core,nocluster
-,"BERTOLA, PAOLA",2002,04.1 Contributo in Atti di convegno,-,nocluster
-,"BERTOLA, PAOLA",2002,04.1 Contributo in Atti di convegno,-,nocluster
-,"MANGIAROTTI, RAFFAELLA",2002,04.1 Contributo in Atti di convegno,-,nocluster
XXX Giornate di Studio ASECAP,"ARDITI R.;CHARBONNIER P.;MAJA, ROBERTO;STUDER, LUCA PASINO",2002,04.1 Contributo in Atti di convegno,-,nocluster
-,"RICCO', DINA;S. Guerini",2002,04.2 Abstract in Atti di convegno,-,nocluster
User's Conference,"BIAMONTI, ALESSANDRO",2003,04.1 Contributo in Atti di convegno,-,nocluster
5td EAD Conference,"BIAMONTI, ALESSANDRO",2003,04.1 Contributo in Atti di convegno,-,nocluster
HAAMAHA Conference Proceedings,"COSTA, FIAMMETTA CARLA ENRICA;R. Tartaglia",2003,04.1 Contributo in Atti di convegno,-,nocluster
Third Conference Doctoral Education in Design. 3RD DED Tsukuba,"PIZZOCARO, SILVIA LUISA",2003,04.1 Contributo in Atti di convegno,Doctoral education in design; Doctoral curricula in design,nocluster
"Atti del workshop su danneggiamento, conservazione e manutenzione di strutture murarie e lignee - diagnosi e modellazione con riferimento alle tipologie costruttive ed edilizie","BINDA, LUIGIA;ANZANI, ANNA;J. Pina Henriques;TONGINI FOLLI, ROBERTA",2003,04.1 Contributo in Atti di convegno,-,nocluster
Proceedings of the 10th international conference and exhibition structural faults and repair,"ANZANI, ANNA;BINDA, LUIGIA;FONTANA, ALBERTO",2003,04.1 Contributo in Atti di convegno,-,nocluster
12th International Workshop on Robotics in Alpe-Adria-Danube Region (RAAD’03),"CANINA, MARIA RITA;ROVETTA, ALBERTO",2003,04.1 Contributo in Atti di convegno,-,nocluster
Healthy Buildings 2003,"OBERTI, ILARIA;BAGLIONI, ADRIANA;PIARDI, SILVIA ELVIRA MARIA;PLANTAMURA, FRANCESCA;RATTI, ANDREA",2003,04.1 Contributo in Atti di convegno,-,nocluster
HAAMAHA 8th international conference on Human Aspects of Advanced Manufacturing: Agility & Hybrid Automation - 26-30 May 2003,"CELI, MANUELA",2003,04.1 Contributo in Atti di convegno,-,nocluster
International Symposium on Advances in Robot Dynamics and Control (ARDC 2003),"CANINA, MARIA RITA;T. Chettibi;ROVETTA, ALBERTO",2003,04.1 Contributo in Atti di convegno,IMECE2003 - 42685,nocluster
"1st International Meeting of Science and Technology of Design, Senses and Sensibility","ROGNOLI, VALENTINA",2003,04.1 Contributo in Atti di convegno,materials’design; sensorial characterization; multi-disciplinarity; design’s culture; parameters,nocluster
"actas 3° ENCORE encontro sobre conservaçao e reabilitaçao de edificios, Lisboa, Portugal,","BINDA, LUIGIA;ANZANI, ANNA;SAISI, ANTONELLA ELIDE",2003,04.1 Contributo in Atti di convegno,-,nocluster
I dottorati di progettaizone e il sistema di ricerca di architettura in Italia fra tradizione e innovazione,"SCULLICA, FRANCESCO",2003,04.1 Contributo in Atti di convegno,ospitalità; camera d'albergo; interior design,nocluster
EURAM 2003. MANAGING THROUGH VARIETY: THE EUROPEAN STYLE?,"RAMPINO, LUCIA ROSA ELENA;INGARAMO, MATTEO ORESTE",2003,04.1 Contributo in Atti di convegno,-,nocluster
Conference on Intercultural Education,"BIAMONTI, ALESSANDRO",2003,04.1 Contributo in Atti di convegno,-,nocluster
Inquinamento atmosferico: controllo e difesa della qualità dell'aria,"PIARDI, SILVIA ELVIRA MARIA",2003,04.1 Contributo in Atti di convegno,qualità aria interna progetto,nocluster
Sustainable Urban Infrastructure: approaches - solutions - networking,"BRAMBILLA, MARCO GIOVANNI;ERBA, STEFANO;PONTI, MARCO GUIDO",2003,04.1 Contributo in Atti di convegno,-,nocluster
Senses and sensibility in technology,"ARQUILLA, VENANZIO;MAFFEI, STEFANO",2003,04.1 Contributo in Atti di convegno,-,nocluster
16th INTERNATIONAL SYMPOSIUM ON THEORY AND PRACTICE IN TRANSPORT ECONOMICS,"PONTI, MARCO GUIDO",2003,04.1 Contributo in Atti di convegno,-,nocluster
Proceedings of the international conference ICPM on performance of construction materials in the new millennium a new era of building,"BINDA, LUIGIA;ANZANI, ANNA;SAISI, ANTONELLA ELIDE",2003,04.1 Contributo in Atti di convegno,-,nocluster
6th Int. Symp. Computer Methods in Structural Masonry (STRUMAS VI),"BINDA, LUIGIA;A. Fontana;ANZANI, ANNA",2003,04.1 Contributo in Atti di convegno,-,nocluster
T.E.L. '03 - International Conference on Technology Enhanced Learning,"PIZZOCARO, SILVIA LUISA;L. Bollini",2003,04.1 Contributo in Atti di convegno,Design learning,nocluster
"Proceedings of CYBERTHERAPY 2003, San Diego, CA, USA,19/20 January 2003","CANINA, MARIA RITA;ROVETTA, ALBERTO",2003,04.1 Contributo in Atti di convegno,-,nocluster
"Proceedings of RAAD’03, 12th International Workshop on Robotics","CANINA, MARIA RITA;ROVETTA, ALBERTO",2003,04.1 Contributo in Atti di convegno,-,nocluster
1st International Meeting of Science and Technology of Design Senses and Sensibility. Linking Tradition to Innovation Through Design,"RICCO', DINA;BELLUSCIO A.;GUERINI S.",2003,04.1 Contributo in Atti di convegno,-,nocluster
Designing Designers: Design for a local global world (2002 edition),"PARENTE, MARINA;V. CRISTALLO;A. MORONE",2003,04.1 Contributo in Atti di convegno,-,nocluster
Lo sguardo denigrato. Ruolo dell'osservatore nell'era della rappresentazione digitale,"BREVI, FAUSTO",2003,04.1 Contributo in Atti di convegno,-,nocluster
Sustainable Product-Service-Systems: 'state of the art',"MAFFEI, STEFANO;SANGIORGI, DANIELA",2003,04.1 Contributo in Atti di convegno,-,nocluster
Senses and sensibility in technology,"MAFFEI, STEFANO;ARQUILLA, VENANZIO",2003,04.1 Contributo in Atti di convegno,-,nocluster
Creating Communicational Spaces,"MAFFEI, STEFANO;SANGIORGI, DANIELA",2003,04.1 Contributo in Atti di convegno,-,nocluster
Quality of work and products in enterprises of the future : proceedings of the annual spring conference of the GfA on the occasion of the 50th anniversary of the foundation of the Gesellschaft für Arbeitswissenschaft,"MAFFEI, STEFANO;SANGIORGI, DANIELA",2003,04.1 Contributo in Atti di convegno,-,nocluster
Conference Proceedings HAAMAHA,"TOSI F;ANSELMI, LAURA",2003,04.1 Contributo in Atti di convegno,-,nocluster
"Technè, 5th European Academy of Design Conference","BERTOLA, PAOLA;COLLINA, LUISA MARIA VIRGINIA;CIUCCARELLI, PAOLO;INNOCENTI P.",2003,04.1 Contributo in Atti di convegno,-,nocluster
"Eight International Conference on Structural Studies, Repairs and Maintenance of Heritage Architectu","BINDA, LUIGIA;ANZANI, ANNA;SAISI, ANTONELLA ELIDE",2003,04.1 Contributo in Atti di convegno,-,nocluster
Virtual Concept 2003,"CALABI, DANIELA ANNA;STEFANO MOTTURA;MARCO SACCO;GIAMPAOLO VIGANO'",2003,04.1 Contributo in Atti di convegno,-,nocluster
CYBERTHERAPY 2003,"CANINA, MARIA RITA;ROVETTA, ALBERTO;PEGORARO R.",2003,04.1 Contributo in Atti di convegno,-,nocluster
"RAAD’03, 12th International Workshop on Robotics in Alpe-Adria-Danube Region","CANINA, MARIA RITA;ROVETTA, ALBERTO",2003,04.1 Contributo in Atti di convegno,-,nocluster
33rd International Conference on Environmental Systems (ICES),"DOMINONI, ANNALISA;S. Ferraris",2003,04.1 Contributo in Atti di convegno,design; human factors; microgravity; restraints; space design; space laboratory,nocluster
"1° International Symposium The Design, the Safety, the Structure. The management of resources and innovative processes in the construction","M. Bruno;FERRARI, SIMONE;P. Orlando;PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA;R. Trenta",2003,04.1 Contributo in Atti di convegno,-,nocluster
Rinascimento sul mare,"PIARDI, SILVIA ELVIRA MARIA",2003,04.1 Contributo in Atti di convegno,design nautico,nocluster
ARDC 03: 2003 International Symposium on Advances in Robot Dynamics and Control,"ROVETTA, ALBERTO;CHETTIBI T;CANINA, MARIA RITA",2003,04.1 Contributo in Atti di convegno,-,nocluster
Odysseus 2003,"BRUGLIERI, MAURIZIO;MALUCELLI, FEDERICO",2003,04.1 Contributo in Atti di convegno,AUT,nocluster
Lo sguardo denigrato. Ruolo dell'osservatore nell'era della rappresentazione digitale,"CECONELLO, MAURO ATTILIO",2003,04.1 Contributo in Atti di convegno,-,nocluster
10th  International Conference on Human Computer Interaction,"RIZZO, FRANCESCA;O. Parlangeli;S. Bagnara",2003,04.1 Contributo in Atti di convegno,-,nocluster
5th International Conference of the European Academy of Design,"BERTOLA, PAOLA;COLLINA, LUISA MARIA VIRGINIA;CIUCCARELLI, PAOLO;INNOCENTI, PERLA",2003,04.1 Contributo in Atti di convegno,design knowledge; networks; PMI,nocluster
"Paesaggio e territorio in Franciacorta e Sebino: conoscenza, progetto, tutela","CIAGA', GRAZIELLA LEYLA",2003,04.1 Contributo in Atti di convegno,-,nocluster
I percorsi della progettazione per la sostenibilità ambientale,"S. Pangrazzi;PIARDI, SILVIA ELVIRA MARIA",2004,04.1 Contributo in Atti di convegno,education ambiente progetto,nocluster
CIB World Building Congress,"OBERTI, ILARIA;PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA;SCUDO, GIOVANNI",2004,04.1 Contributo in Atti di convegno,-,nocluster
Juan Carlos Exhibition Centre (IFEMA) within the framework of Textilmoda,"CONTI, GIOVANNI MARIA",2004,04.1 Contributo in Atti di convegno,-,nocluster
Optimization 2004,"COLORNI VITALE, ALBERTO;R. Wolfler",2004,04.1 Contributo in Atti di convegno,-,nocluster
P&D 2004 - Pesquisa e desenvolvimento em design,"PIZZOCARO, SILVIA LUISA",2004,04.1 Contributo in Atti di convegno,Design research,nocluster
"Seminario sul tema ""Evoluzione nella sperimentazione per le costruzioni","PIARDI, SILVIA ELVIRA MARIA",2004,04.1 Contributo in Atti di convegno,sperimentazione leggerezza maeriali,nocluster
"The 11th International Forum on Design Management Research and Education Strategies, Resources & Tools for Design Management Leadership","BERTOLA, PAOLA",2004,04.1 Contributo in Atti di convegno,-,nocluster
proceedings of the 13th international brick and block masonry conference IB2MaC,"ANZANI, ANNA;BINDA, LUIGIA;FONTANA, ALBERTO;J. Pina Henriques",2004,04.1 Contributo in Atti di convegno,-,nocluster
La figura del Virtual Designer. Richiesta e offerta sul piano formativo,"BREVI, FAUSTO;CECONELLO, MAURO ATTILIO;GAIANI, MARCO",2004,04.1 Contributo in Atti di convegno,-,nocluster
7° Convegno AIMAT,"DEL CURTO, BARBARA;PEDEFERRI, MARIAPIA;ROGNOLI, VALENTINA",2004,04.1 Contributo in Atti di convegno,-,nocluster
TRISTAN,"COLORNI VITALE, ALBERTO;CORDONE, ROBERTO;A. Soldano;F. Valandro;R. Wolfler",2004,04.1 Contributo in Atti di convegno,-,nocluster
Designing Designers: Design school as factories of knowledge,"COLLINA, LUISA MARIA VIRGINIA;SIMONELLI, GIULIANO",2004,04.1 Contributo in Atti di convegno,-,nocluster
"Workshop su Infomobilità, telematica e decongestione del traffico urbano","COLORNI VITALE, ALBERTO;R. Wolfler",2004,04.1 Contributo in Atti di convegno,-,nocluster
"“S.01, 1. Internationale Seminarwoche/ 1. International Seminar Week, Hochschule fur Gestaltung // Fachhochschule Schwabish Gmund","SCULLICA, FRANCESCO",2004,04.1 Contributo in Atti di convegno,hotel guest room; interior design,nocluster
Tra Luce e Ombra,"CECONELLO, MAURO ATTILIO",2004,04.1 Contributo in Atti di convegno,-,nocluster
DESIGN 2004. 8th International Design Conference,"INGARAMO, MATTEO ORESTE;RAMPINO, LUCIA ROSA ELENA",2004,04.1 Contributo in Atti di convegno,-,nocluster
Ambiente e territorio. Piattaforma di integrazione interdisciplinare delle tematiche su ambiente e t,"AMORUSO, GIUSEPPE",2004,04.1 Contributo in Atti di convegno,-,nocluster
XXVI° Convegno internazionale delle discipline della rappresentazione,"AMORUSO, GIUSEPPE;C. BARTOLOMEI",2004,04.1 Contributo in Atti di convegno,-,nocluster
XXVI° Convegno internazionale delle discipline della rappresentazione,"AMORUSO, GIUSEPPE;F. FARAONE",2004,04.1 Contributo in Atti di convegno,-,nocluster
"SEMINARIO INTERNAZIONALE DI STUDI ""GLI STRUMENTI DI CONOSCENZA PER IL PROGETTO DI RESTAURO""","AMORUSO, GIUSEPPE;L. BARATIN",2004,04.1 Contributo in Atti di convegno,-,nocluster
1st International Workshop on Materials and Sensations,"ROGNOLI, VALENTINA;LEVI, MARINELLA",2004,04.1 Contributo in Atti di convegno,materials; expressive-sensorial dimension,nocluster
2nd International Engineering and Product Design Education Conference 2004,"ROGNOLI, VALENTINA;LEVI, MARINELLA",2004,04.1 Contributo in Atti di convegno,design materials; materials library; pedagogic tools,nocluster
Designing Designers,"ARQUILLA, VENANZIO;MAFFEI, STEFANO",2004,04.1 Contributo in Atti di convegno,-,nocluster
Cumulus,"MAFFEI, STEFANO;VILLARI, BEATRICE",2004,04.1 Contributo in Atti di convegno,-,nocluster
