dc.type.full;dc.identifier.uri;dc.language.iso;dc.date.issued;dc.type.referee;dc.type.circulation;dc.publisher.name;dc.publisher.country;dc.publisher.place;dc.relation.ispartofbook;item.journal.title;dc.relation.medium;dc.relation.conferencename;dc.relation.conferenceplace;dc.title;dc.subject.keywords;item.collection;item.openaireRights;dc.description.numberofauthors;dc.authority.people;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1011008;ita;2017;-0;-0;deleyva editore;-0;-0;OLTRE L’ABITO. IRIDESCENZE NELLA MODA CONTEMPORANEA;-0;-0;-0;-0;Il progetto del corpo maschile;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1011010;ita;2017;-0;-0;deleyva editore;-0;-0;OLTRE L’ABITO. IRIDESCENZE NELLA MODA CONTEMPORANEA;-0;-0;-0;-0;L’abito maschile nel meridione d’Italia;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1011064;ita;2017;-0;-0;deleyva editore;-0;-0;OLTRE L’ABITO. IRIDESCENZE NELLA MODA CONTEMPORANEA;-0;-0;-0;-0;La figura del sarto e la sua formazione;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1011065;ita;2017;-0;-0;deleyva editore;-0;-0;OLTRE L’ABITO. IRIDESCENZE NELLA MODA CONTEMPORANEA;-0;-0;-0;-0;Il passato come riscoperta delle future tradizioni;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1011066;ita;2017;-0;-0;deleyva editore;-0;-0;OLTRE L’ABITO. IRIDESCENZE NELLA MODA CONTEMPORANEA;-0;-0;-0;-0;Abiti maschili ibridi: tra lo sportivo e il sartoriale;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1011067;ita;2017;-0;-0;deleyva editore;-0;-0;OLTRE L’ABITO. IRIDESCENZE NELLA MODA CONTEMPORANEA;-0;-0;-0;-0;Due progetti di cappello: il Borsalino e la coppola;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1013039;ita;2017;Comitato scientifico;-0;Clean;ITA;Napoli;Gino Anselmi. Architetto Grafico Designer;-0;STAMPA;-0;-0;La grafica essenziale di Gino Anselmi, un napoletano razionalista;progettazione grafica, design della comunicazione;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;GUIDA, FRANCESCO ERMANNO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1014758;ita;2017;-0;-0;Silvana Editoriale;ITA;Cinisello Balsamo, Milano;Archeologia del Cenacolo. Ricostruzioni e fortuna dell'icona leonardesca: disegni, incisioni, fotografie;-0;STAMPA;-0;-0;Archeologia e fortuna del Cenacolo di Leonardo;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;MARANI, PIETRO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1014759;ita;2017;-0;-0;LIST Lab Laboratorio Internazionale Editoriale;-0;-0;Nutrirsi per immagini;-0;-0;-0;-0;Celebrare l'interdisciplinarietà;-0;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;CEPPI, GIULIO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1014902;eng;2017;-0;-0;Franco Angeli;ITA;Milano;Polimi Design PhD_017;-0;ELETTRONICO;-0;-0;Probing Design. The outcomes of doctoral research at Politecnico di Milano, Year 2017;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"GUERRINI, LUCA;BIAMONTI, ALESSANDRO";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1017095;eng;2017;-0;-0;Routledge;GBR;London, UK;The Routledge Handbook of Sustainable Product Design;-0;STAMPA;-0;-0;Materially Yours;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;3;"Karana, Elvin;Giaccardi, Elisa;ROGNOLI, VALENTINA";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1008095;eng ger;2017;Comitato scientifico;-0;Springer Gabler;DEU;Wiesbaden;Luxusmarken-Management;-0;STAMPA;-0;-0;Luxusmarken-Management;innovation, design, jewellery, alba cappellieri, politecnico di milano;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"CAPPELLIERI, ALBA;TENUTA, LIVIA";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1000031;ita;2016;Comitato scientifico;-0;Maggioli Ed.;ITA;Milano;Humanities Design Lab.  Le culture del progetto e le scienze umane e sociali;-0;STAMPA;-0;-0;Humanities e Design: prove per un dialogo;"Humanities; Design; Narrazione, Transdisciplinarietà";02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"CELI, MANUELA;Formia, Elena";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1000033;ita;2016;Comitato scientifico;-0;Maggioli Ed.;ITA;Milano;Humanities Design Lab Le culture del progetto e le scienze umane e sociali;-0;STAMPA;-0;-0;Design e narrazione;Interdisciplinarietà, Design, Narrazione;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"CELI, MANUELA;Rizzo, Francesca";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1000316;ita;2016;Comitato scientifico;-0;Bononia University press;ITA;Bologna;La Certosa di Ferrara. Una città nella città;-0;STAMPA;-0;-0;L’altra città. Modelli urbani e riferimenti simbolici tra mondo profano e sacralità;cimitero; forma e misura; metrologia storica; recinto;  simbolo; cultura immateriale;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;ROSSI, MICHELA
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1000566;ita;2016;-0;-0;Edizioni Scientifiche e Artistiche;ITA;Torre del Greco;Le parole della parità;-0;STAMPA;-0;-0;Design della comunicazione per le culture di genere. Strumenti comunicativi nei luoghi della formazione;culture di genere, design della comunicazione, formazione;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;3;"BAULE, GIOVANNI;CARATTI, ELENA;TOLINO, UMBERTO";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1001444;eng;2016;Comitato scientifico;-0;Maggioli Editore;ITA;Sant'Arcangelo di Romagna;Campus e contro campus. Architetture per studiare e ricercare. Aule/Halls;-0;STAMPA;-0;-0;Politecnico di Milano. A virtual campus;Gio Ponti, Politecnico di Milano, campus;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;IRACE, FULVIO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1001939;eng;2016;Comitato scientifico;-0;Maggioli Editore;ITA;Sant'Arcangelo di Romagna;Campus e contro campus. Architetture per studiare e ricercare. Aule/Halls;-0;STAMPA;-0;-0;Università Cattolica. Architecture as urban art;Giovanni Muzio, Milano, Università Cattolica;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;IRACE, FULVIO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1002472;ita;2016;Comitato scientifico;-0;Franco Angeli;-0;Milano;Un palazzo in forma di parole. Scritti in onore di Paolo Carpeggiani;-0;-0;-0;-0;Facciate leggere;Milano;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;IRACE, FULVIO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1002827;ita;2016;Comitato scientifico;-0;Franco Angeli;-0;Milano;Design è traduzione;-0;-0;-0;-0;Traduzioni sinestesiche. Teorie e pratiche per il progetto dell’accessibilità ai contenuti;accessibilità;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;RICCO', DINA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1004158;eng;2016;-0;-0;Springer International Publishing;-0;-0;Internet of Things. IoT Infrastructures: Second International Summit, IoT 360\textdegree 2015, Rome, Italy, October 27-29, 2015. Revised Selected Papers, Part I;-0;-0;-0;-0;SMARTA: Smart Ambiente and Wearable Home Monitoring for Elderly;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;4;"PEREGO, PAOLO;TARABINI, MARCO;BOCCIOLONE, MARCO FRANCESCO;ANDREONI, GIUSEPPE";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1004805;ita;2016;Comitato scientifico;-0;Franco Angeli;ITA;Milano;Design è traduzione. Il paradigma traduttivo per la cultura del progetto;-0;STAMPA;-0;-0;Texture e Testo. Un processo traduttivo;Texture design, Design della comunicazione, Basic Design, Decostruzione;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;CALABI, DANIELA ANNA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1005079;ita;2016;-0;-0;Maggioli Editore;ITA;Santarcangelo di Romagna;Il retail diffuso: lo spazio di vendita tra territori fisici e multimediali;-0;STAMPA;-0;-0;Crescere con il Territorio: il rapporto città-commercio dall'antichità al IXX secolo;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;GEROSA, GIULIA MARIA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1005081;ita;2016;-0;-0;Maggioli Editore;ITA;Santarcangelo di Romagna;Retail diffuso: lo spazio vendita fra territori fisici e multimediali;-0;-0;-0;-0;Raccontarsi nel Territorio: la nascita del negozio moderno;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;GEROSA, GIULIA MARIA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1005082;ita;2016;-0;-0;Maggioli Editore;ITA;Santarcangelo di Romagna;Retail diffuso: lo spazio vendita fra territori fisici e multimediali;-0;-0;-0;-0;Recupero e trasformazione urbana;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;GEROSA, GIULIA MARIA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1005085;ita;2016;-0;-0;Maggioli Editore;ITA;Santarcangelo di Romagna;Retail diffuso: lo spazio vendita fra territori fisici e multimediali;-0;STAMPA;-0;-0;Rifunzionalizzazione e metamorfosi;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;GEROSA, GIULIA MARIA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1005169;por;2016;-0;-0;Eduemg,;BRA;Barbacena, MG (Brasil);Cadernos de Estudos Avançados em Design: Design e Semiótica;-0;STAMPA;-0;-0;Qual semiótica para o design? A via pragmatista e a construção de una semiótica do projeto;-0;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;ZINGALE, SALVATORE;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1005170;eng;2016;-0;-0;Eduemg;BRA;Barbacena, MG (Brasil);Collection of advanced studies in design: Design and Semiotics;-0;STAMPA;-0;-0;What semiotic for design? The pragmatist way and the construction of a project’s semiotic;-0;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;ZINGALE, SALVATORE;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1005172;ita;2016;-0;-0;FrancoAngeli;ITA;Milano;Design è traduzione. Il paradigma traduttivo per la cultura del progetto. “Design e traduzione”: un manifesto;-0;STAMPA;-0;-0;Come una traduzione. La traduzione del senso nel design;Traduzione, Interpretante, Semiotica, Sistema di significazione, Design;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;ZINGALE, SALVATORE;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1005173;ita;2016;Comitato scientifico;-0;Maggioli;ITA;Santarcangelo di Romagna (RN);Humanities Design Lab. Le culture del progetto e le scienze umane e sociali;-0;STAMPA;-0;-0;Il design e le scienze umane. Temi per una scienza dialogica;Design, umanismo, scienza, semiotica, pragmatismo, atropopoiesi;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;ZINGALE, SALVATORE;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1005174;ita;2016;Comitato scientifico;-0;Maggioli;ITA;Santarcangelo di Romagna (RN);Humanities Design Lab. Le culture del progetto e le scienze umane e sociali;-0;STAMPA;-0;-0;L’osservazione semiotica;semiotica, osservazione, progetto, etnosemiotica;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;ZINGALE, SALVATORE;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1005175;ita;2016;-0;-0;Edizioni Scientifiche Italiane;ITA;-0;Storia Storie Romanzo. Per una filosofia delle narrazioni;-0;STAMPA;-0;-0;Innamoramento e abduzione. Il progetto, l’imprevisto, l’improvviso;abduzione, semiotica, innamoramento, immagine, progetto, imprevisto,;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;ZINGALE, SALVATORE;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1005219;ita;2016;-0;-0;Maggioli Editore;ITA;Santarcangelo di Romagna;Retail diffuso: lo spazio vendita fra territori fisici e multimediali;-0;STAMPA;-0;-0;Il sistema di offerta dell'impresa entro il paradigma dell'experience design;-0;02.1 Contributo in Volume;none;1;IANNILLI, VALERIA MARIA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1005220;ita;2016;-0;-0;Maggioli Editore;ITA;Santarcangelo di Romagna;Retail diffuso: lo spazio vendita fra territori fisici e multimediali;-0;STAMPA;-0;-0;L'apporto delle scienze umane negli studi del design per il retail;-0;02.1 Contributo in Volume;none;1;IANNILLI, VALERIA MARIA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1005223;ita;2016;-0;-0;Maggioli Editore;ITA;Santarcangelo di Romagna;Retail diffuso: lo spazio vendita fra territori fisici e multimediali;-0;STAMPA;-0;-0;Smart consumer vs smart retail context;smart consumer, smart retail, mobile, omnicanale;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;IANNILLI, VALERIA MARIA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1005330;ita;2016;Comitato scientifico;-0;FrancoAngeli;-0;Milano;Design è traduzione. Il paradigma traduttivo per la cultura del progetto.;-0;-0;-0;-0;La narrazione e il supporto. Il principio di traduzione nel progetto transmediale;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"CIASTELLARDI, MATTEO;de Kerckhove, Derrick";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1006240;ita;2016;-0;-0;LED;-0;Milano;Lo stile del pensiero. Una lettura ipertestuale del caso emblematico di Friedrich Nietzsche;-0;-0;-0;-0;L’informazione mediata. Il processo d’interazione nella cultura del testo;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;CIASTELLARDI, MATTEO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1006435;eng;2016;-0;-0;LED;-0;-0;Opening Time. On the Energy Threshold;-0;-0;-0;-0;Augmented Reality for Collaborative Media;-0;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;CIASTELLARDI, MATTEO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1006986;ita;2016;-0;-0;Scripta edizioni;ITA;Verona;Antonio Balestra. Nel Segno della Grazia.;-0;STAMPA;-0;-0;Antonio Balestra e la gioventù romana.;Antonio Balestra, Benedetto Luti, Disegno, Barocco, Arcadia, Accademia di San Luca, Mostra, Catalogo, Ministero Beni Culturali, Storia dell'arte, Pittura, Settecento, Verona, Castelvecchio;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;MAFFEIS, RODOLFO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1007266;ita;2016;Comitato scientifico;-0;Egea;ITA;Milano;L'impresa di domani. Innovativa sostenibile inclusiva;-0;STAMPA;-0;-0;Credere nel business sociale;Business sociale;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;GALBIATI, MARIA LUISA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1007267;eng;2016;Comitato scientifico;-0;Silvana Editoriale;ITA;Milano;The Logic of Approximation, in Art and in Life;-0;STAMPA;-0;-0;Contemporary Communication Scenarios;-0;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;GALBIATI, MARIA LUISA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1007354;ita;2016;-0;-0;FrancoAngeli;ITA;Milano;Transmedia design framework. Un approccio design-oriented alla transmedia practice;-0;STAMPA;-0;-0;Le prassi comunicative nell’era digitale;digitale;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;GALBIATI, MARIA LUISA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1007502;ita;2016;Comitato scientifico;-0;Skira;ITA;Milano;Antonio Sant'Elia. Il futuro delle città;-0;STAMPA;-0;-0;Dalla Città Nuova alla Green City;Antonio Sant'Elia, Città Nuova, Green City;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;IRACE, FULVIO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1008787;eng;2016;-0;-0;DESIS Network Association;-0;-0;THE PEARL DIVER. The designer as storyteller;-0;-0;-0;-0;Engagement & storytelling for social innovation;-0;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;GALBIATI, MARIA LUISA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1008788;eng;2016;-0;-0;DESIS Network Association;-0;-0;THE PEARL DIVER. The designer as storyteller;-0;-0;-0;-0;Games telling stories of and for social innovation;-0;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;MARIANI, ILARIA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1008789;eng;2016;-0;-0;DESIS Network Association;-0;-0;THE PEARL DIVER. The designer as storyteller;-0;-0;-0;-0;A conversation with Marisa Galbiati & Ezio Manzini;-0;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;2;"GALBIATI, MARIA LUISA;MANZINI, EZIO";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1008866;eng;2016;-0;-0;IGI Global;-0;-0;Enriching Urban Spaces with Ambient Computing, the Internet of Things, and Smart City Design;-0;-0;-0;-0;Enriching Geographic Maps with Accessible Paths Derived from Implicit Mobile Device Data Collection;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;6;"BIAGI, LUDOVICO GIORGIO ALDO;COMAI, SARA;MANGIAROTTI, RAFFAELLA;MATTEUCCI, MATTEO;NEGRETTI, MARCO;Yavuz, Secil Ugur";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1010663;eng;2016;Esperti anonimi;-0;Edward Elgar Publishing Limited;GBR;-0;International Perspectives on Business Innovation and Disruption in Design;-0;-0;-0;-0;Design capability and business innovation;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"MORTATI, MARZIA;VILLARI, BEATRICE";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1013441;por;2016;-0;-0;Paraiboa, João Pessoa;BRA;Paraíba, Brazil;O novo paradigma arquitetonico e urbanistico da complexidade sustentavel criativa: experiencias academicas em perquisas basicas e aplicadas;-0;STAMPA;-0;-0;Universidade Federal do Parana;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;5;"NEBULONI, ATTILIO;Blasi, C.;Carreno, B.;Padovano, B.;Righi, R.";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1013452;por;2016;-0;-0;Paraiboa, João Pessoa;BRA;Paraíba, Brazil;O novo paradigma arquitetonico e urbanistico da complexidade sustentavel criativa: experiencias academicas em perquisas basicas e aplicadas;-0;STAMPA;-0;-0;Sede do Governo Estadual do Maranhao;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;5;"NEBULONI, ATTILIO;Bertacchini, P.;Blasi, C.;Padovano, B.;Pontes, P.";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1014378;ita;2016;-0;-0;Edizioni FAG;-0;-0;La tutela della creatività e del design;-0;-0;-0;-0;La premessa necessaria: muoversi in un mondo in continuo movimento.;-0;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;CEPPI, GIULIO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1015727;eng;2016;Comitato scientifico;-0;CIRICE;ITA;Napoli;Delli Aspetti de Paesi. Tomo secondo. Rappresentazione, memoria, conservazione. Representation, Memory, Preservation.;-0;ELETTRONICO;-0;-0;Wandering through the time of the city. Real and virtual Milanese itineraries;Maps, Iconographic heritage,virtual itineraries;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;3;"IAROSSI, MARIA POMPEIANA;CONTE, SARA;Rossini, Matilde";;;;;
